	index	sentence	origin	lang	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
17	19	The church is dedicated to the two Milanese martyrs Gervasio and Protasio (hence Trovaso) and was founded in the 9th century	84	en	Criteria vi	Criteria iii	Criteria i	0.582995593547821	0.8604844659566879	Criteria ii	Criteria i	Criteria iii	0.30546847	0.72219765	False	0.5	0.5125898937788754
18	20	As Giuseppe Tassini tells us, the church was built in the early days after the foundation of Venice, and immediately became a parish church	84	en	Criteria iv	Criteria iii	Criteria vi	0.2781194746494293	0.749220222234726	Criteria iv	Criteria iii	Criteria ii	0.4736208	0.77250034	True	0.5	0.9013793844942836
19	21	It was rebuilt in 1028 by the Barbarigo and Caravella families	84	en	Criteria i	Criteria iv	Criteria ii	0.4989840090274811	0.8527679890394211	Criteria iv	Criteria i	Criteria iii	0.3167775	0.8031136	False	0.5	0.8875859349017905
20	22	From its foundation it was subjected to the authorities of the patriarchs of Grado and the bishops of Olivolo	84	en	Criteria iii	Criteria vi	Criteria iv	0.402400255203247	0.7667013704776764	Criteria iii	Criteria iv	Criteria vi	0.49125987	0.8712804	True	1.0	0.9133815809720698
21	23	Due to various controversies, a compromise was reached in 1041: both prelates would have elected and commanded the vicar of San Trovaso	84	en	Criteria ii	Criteria ix	Criteria x	0.2688201069831848	0.5191375911235809	Criteria iv	Criteria vi	Criteria ii	0.29365513	0.74083865	False	0.2	0.6673123299062647
22	24	This is an important testimony of the bad relations that existed in the Middle Ages between the Gradense clergy and the Venetian clergy	84	en	Criteria iii	Criteria ii	Criteria iv	0.4275791645050049	0.9092325419187546	Criteria iii	Criteria iv	Criteria ii	0.5785007	0.86934435	True	1.0	0.8376495499774435
23	25	In 1105 the church was renovated	84	en	Criteria ii	Criteria vi	Criteria i	0.3933742642402649	0.7303619831800461	Criteria ii	Criteria i	Criteria iv	0.68671376	0.91757417	True	0.5	0.8944427944495376
24	26	It collapsed in 1583 and from 1584 it was rebuilt in seven years	84	en	Criteria i	Criteria iv	Criteria ii	0.4787826538085937	0.7960640415549278	Criteria i	Criteria iv	Criteria ii	0.7778106	0.9218266	True	1.0	0.9372063257418386
25	27	Completely renovated starting from 1585 in Palladian forms with a Greek cross plan, on the outside it has the particularity of having two almost identical facades with double facing onto the Rio di Ognissanti and the Rio di San Trovaso	84	en	Criteria i	Criteria iv	Criteria ii	0.5921483039855957	0.940258577466011	Criteria i	Criteria iv	Criteria ii	0.7718257	0.9310707	True	1.0	0.9670195664065949
26	28	It was consecrated in 1657	84	en	Criteria i	Criteria iv	Criteria iii	0.5254868865013123	0.782947912812233	Criteria i	Criteria iv	Criteria ii	0.65773255	0.84017813	True	0.5	0.9812292813626774
27	31	CHIESA DI SAN TROVASO	84	en	Criteria vi	Criteria iii	Criteria i	0.3204261064529419	0.7966899424791336	Criteria i	Criteria vi	Criteria iv	0.7551083	0.89852154	False	0.5	0.4386511321805596
28	32	The cloister (1448-1466) of the church of San Michele in Isola, Venice.	85	en	Criteria iv	Criteria i	Criteria vi	0.2828261852264404	0.7522292584180832	Criteria i	Criteria iv	Criteria ii	0.7977593	0.91164476	False	0.5	0.6558954891859832
29	33	Taking off from Marco Polo Airport in Venice, Veneto, Italy  Due to the importance of Venice as a leisure destination, it features flights to many European metropolitan areas as well as some partly seasonal long-haul routes to the United States, Canada and the Middle East	87	en	Criteria ii	Criteria iv	Criteria iii	0.3516099452972412	0.7977707386016846	Criteria vii	Criteria iv	Criteria ii	0.28354684	0.5981856	False	0.5	0.6044258200169063
30	34	With 10,371, 380 passengers having passed through the airport in 2017, it remains the fourth busiest airport in Italy in terms of passenger numbers	87	en	Criteria ii	Criteria iv	Criteria iii	0.2381801009178161	0.6894680261611938	Criteria iv	Criteria x	Criteria vii	0.23641805	0.4620162	False	0.2	0.8292671452932168
31	35	The airport is named after Marco Polo and serves as a base for Volotea and easyJet	87	en	Criteria vi	Criteria iii	Criteria iv	0.3297848999500274	0.7646748721599579	Criteria iv	Criteria vi	Criteria vii	0.324567	0.6622112	False	0.5	0.7051865427893353
32	36	Another airport located in the Venice area, Treviso Airport, is sometimes unofficially labelled as Venice - Treviso and mostly serves low-cost airlines, mainly Ryanair and Wizz Air	87	en	Criteria iii	Criteria iv	Criteria v	0.4100415408611297	0.6598491668701172	Criteria iv	Criteria ii	Criteria vii	0.45730734	0.6760465	False	0.2	0.48055857199758495
33	37	A modern terminal was opened in 2002, but it is already at full capacity	87	en	Criteria iv	Criteria i	Criteria ii	0.4770331978797912	0.8786188513040543	Criteria iv	Criteria i	Criteria ii	0.56909215	0.79979926	True	1.0	0.9584378594920866
34	38	The airport is managed by SAVE Sp.A., a company partially owned by local authorities which also controls the smaller Treviso Airport, dedicated mainly to low-cost carriers	87	en	Criteria iii	Criteria iv	Criteria v	0.3158175051212311	0.6776948422193527	Criteria ii	Criteria iv	Criteria i	0.47088778	0.7321952	False	0.2	0.3998144787119927
35	39	The airport was named after the Venetian traveller Marco Polo, whose book introduced Central Asia and China to Europeans	87	en	Criteria vi	Criteria iii	Criteria ii	0.5554527640342712	0.9010808914899826	Criteria iv	Criteria vi	Criteria iii	0.5505497	0.77332246	False	0.5	0.39217611839936684
36	40	Cannaregio one of the six sestieri of Venice in Veneto, Italy	88	en	Criteria vi	Criteria ii	Criteria iii	0.3648978471755981	0.7443926185369492	Criteria iii	Criteria vi	Criteria iv	0.29095608	0.73894244	False	0.5	0.8803981747421963
37	41	Cannaregio is the northernmost of the six historic sestieri (districts) of Venice	88	en	Criteria iv	Criteria iii	Criteria x	0.2204819023609161	0.5390408560633659	Criteria iv	Criteria ii	Criteria vi	0.8047531	0.9122523	True	0.2	0.6448343672976715
38	42	It is the second largest sestiere by land area and the largest by population, with 13,169 people as of 2007	88	en	Criteria vii	Criteria x	Criteria viii	0.4377069473266601	0.8876481056213379	Criteria x	Criteria ix	Criteria v	0.6850644	0.8081804	False	0.2	0.6025448460910242
39	43	Isola di San Michele, the historic cemetery island, is associated with the district	88	en	Criteria vi	Criteria iii	Criteria iv	0.4077343046665191	0.8236451148986816	Criteria iv	Criteria ii	Criteria vi	0.7824454	0.9276712	False	0.5	0.44558340342873026
40	44	The Cannaregio Canal, which was the main route into the city until the construction of a railway link to the mainland, gave the district its name (Canal Regio is Italian for Royal Canal)	88	en	Criteria ii	Criteria iv	Criteria i	0.3700032234191894	0.8547279089689255	Criteria iv	Criteria ii	Criteria i	0.783037	0.9332065	False	1.0	0.6931580982486147
41	45	Development began in the eleventh century as the area was drained and parallel canals were dredged	88	en	Criteria iv	Criteria ii	Criteria iii	0.368754893541336	0.7745628952980042	Criteria iv	Criteria ii	Criteria i	0.6814503	0.90295744	True	0.5	0.8784824610853862
42	46	Although elegant palazzos were built facing the Grand Canal, the area grew primarily with working class housing and manufacturing	88	en	Criteria iv	Criteria ii	Criteria i	0.6493576765060425	0.8969689235091209	Criteria iv	Criteria ii	Criteria vi	0.8589402	0.9409385	True	0.5	0.9749431718817105
43	47	Beginning in 1516, Jews were restricted to living in the Venetian Ghetto	88	en	Criteria iii	Criteria iv	Criteria ii	0.3147228062152862	0.762352854013443	Criteria vi	Criteria iv	Criteria iii	0.40821987	0.85350233	False	0.5	0.7203563036846774
44	48	It was enclosed by guarded gates and no one could leave from sunset to dawn	88	en	Criteria iii	Criteria iv	Criteria vi	0.3743503391742706	0.7007536292076111	Criteria iii	Criteria vi	Criteria iv	0.2788578	0.6828579	True	1.0	0.8928665517101987
45	49	However, Jews held successful positions in the city such as merchants, physicians, money lenders, and other trades	88	en	Criteria ii	Criteria iii	Criteria vi	0.4140981137752533	0.8516715615987778	Criteria iii	Criteria iv	Criteria vi	0.6955466	0.8945874	False	0.5	0.6664905688716352
46	50	Restrictions on daily Jewish life continued for more than 270 years, until Napoleon Bonaparte conquered the Venetian Republic in 1797	88	en	Criteria iii	Criteria vi	Criteria iv	0.4856578707695007	0.8311051428318024	Criteria iii	Criteria iv	Criteria vi	0.48377421	0.8521241	True	1.0	0.9842405827658189
47	51	He removed the gates and gave all residents the freedom to live where they chose	88	en	Criteria vi	Criteria iii	Criteria iv	0.365445464849472	0.8118759393692017	Criteria vi	Criteria iii	Criteria iv	0.49575812	0.8469801	True	1.0	0.9576609465249099
48	52	In the 19th century, civil engineers built a street named Strada Nuova through Cannaregio, and a railway bridge and road bridge were constructed to connect Venice directly to Mestre	88	en	Criteria ii	Criteria iv	Criteria i	0.5714459419250488	0.9154504016041756	Criteria ii	Criteria iv	Criteria i	0.84408104	0.95073044	True	1.0	0.938546775774051
49	53	Today, the areas of the district along the Grand Canal from the train station to the Rialto Bridge are packed with tourists, but the rest of Cannaregio is residential and relatively peaceful, with morning markets, neighbourhood shops, and small cafés	88	en	Criteria v	Criteria iv	Criteria iii	0.5417222380638123	0.9384411126375198	Criteria iv	Criteria v	Criteria vi	0.47163543	0.7907461	False	0.5	0.7750092950960279
50	54	It has title of Grand Canal	100	en	Criteria i	Criteria vi	Criteria iii	0.2595706880092621	0.6616372466087341	Criteria i	Criteria vii	Criteria iv	0.49788207	0.6949597	True	0.2	0.7534123184926371
51	55	Bridge of Sighs	109	en	Criteria i	Criteria ii	Criteria iv	0.4131196737289428	0.7406208366155624	Criteria i	Criteria vi	Criteria vii	0.3433847	0.6825448	True	0.2	0.8886257578500906
52	58	It has tags of italy, venice	109	en	Criteria iii	Criteria ii	Criteria vi	0.2828929126262665	0.7344850450754166	Criteria ii	Criteria i	Criteria iv	0.53869563	0.88823116	False	0.2	0.7070026300404789
53	59	It has tags of venise, nikon, d, venezia, nopeople, outdoors, water, architecture, sky, refection	113	en	Criteria iii	Criteria iv	Criteria vi	0.5520798563957214	0.8366968482732773	Criteria i	Criteria iv	Criteria ii	0.3370417	0.77856696	False	0.2	0.5039784677564318
54	60	- Textured with my own textur - - Zoom it, please -	121	en	Criteria vi	Criteria iii	Criteria iv	0.3645188510417938	0.7988028600811958	Criteria vii	Criteria i	Criteria x	0.23585562	0.55316603	False	0.0	0.40647623384872683
55	61	It has title of Venedig - Venecia - Venice - Old town	121	en	Criteria vi	Criteria iii	Criteria iv	0.3467687964439392	0.7978270947933197	Criteria iv	Criteria ii	Criteria iii	0.4236441	0.8470162	False	0.5	0.5959021662127771
56	62	Chiesa delle Cappuccine (Capuchin Church) in Cannaregio one of the six sestieri of Venice in Veneto, Italy	126	en	Criteria vi	Criteria iii	Criteria ii	0.373738169670105	0.7144806236028671	Criteria i	Criteria vi	Criteria iv	0.6047923	0.8409054	False	0.2	0.5715860303526031
57	63	The land on which the church was later erected was initially granted in 1612 to a group of Capuchin nuns, who two years later began the construction of the church, dedicated to the Madonna and St Francis, with an adjoining small convent and a vegetable garden that reached up to at the edge of the lagoon	126	en	Criteria iv	Criteria iii	Criteria vi	0.3628919422626495	0.6568165346980095	Criteria iv	Criteria i	Criteria vi	0.49074933	0.79761493	True	0.5	0.9326928834500785
58	64	The building was consecrated in 1623	126	en	Criteria i	Criteria iv	Criteria ii	0.4753665924072265	0.885351151227951	Criteria i	Criteria iv	Criteria vi	0.53190356	0.81625533	True	0.5	0.9556784532940332
59	65	With the Napoleonic edict of 1811 which established the suppression of religious orders, the convent was closed and later demolished to make way for a school building	126	en	Criteria iv	Criteria ii	Criteria iii	0.3482228517532348	0.80653415620327	Criteria iv	Criteria vi	Criteria i	0.6665218	0.86585814	True	0.2	0.8067146538987058
60	66	The church, on the other hand, remained open to worship, becoming a branch first of the parish of the Madonna dell'Orto and then of that of San Girolamo, when in 1952 the latter church was reopened for worship	126	en	Criteria vi	Criteria iv	Criteria ii	0.2752608358860016	0.6876054108142853	Criteria iv	Criteria ii	Criteria vi	0.3533406	0.8499474	False	1.0	0.8863606169263155
61	67	The brick façade is characterized by a quite simple structure divided into three parts by pilasters and finished with a triangular tympanum which includes a rose window in the centre	126	en	Criteria i	Criteria iv	Criteria ii	0.4848535358905792	0.9389672875404358	Criteria iv	Criteria i	Criteria ii	0.510944	0.87197804	False	1.0	0.9183862075116637
62	68	Above the portal there is a sculpture depicting the Virgin with a putto, dating back to the end of the 16th century, and attributed to Girolamo Campagna	126	en	Criteria i	Criteria iii	Criteria iv	0.4588844180107116	0.8363828510046005	Criteria i	Criteria ii	Criteria iii	0.7820833	0.897721	True	0.5	0.8881114184476898
63	69	Two large arched side windows and an elliptical rose window complete the facade	126	en	Criteria i	Criteria iv	Criteria ii	0.5073713064193726	0.8451826348900795	Criteria iv	Criteria i	Criteria vi	0.47044188	0.8627325	False	0.5	0.8060448389805446
64	70	The Inside in constructed very simplly and with a single nave, there are two side altars and a high altar surmounted by the painting The Virgin with Saints Francesco, Chiara, Marco and Orsola by Palma il Giovane	126	en	Criteria i	Criteria iv	Criteria iii	0.8062500953674316	0.9485364370048046	Criteria i	Criteria iv	Criteria iii	0.60755193	0.8710998	True	1.0	0.9773690387717959
65	71	On the right altar there is the Death of St Joseph, a painting of the 17th century Paduan school by an anonymous author, while on the left altar there is an ancient copy of an icon	126	en	Criteria i	Criteria ii	Criteria iv	0.6649391651153564	0.866598092019558	Criteria i	Criteria ii	Criteria iii	0.5408973	0.8493298	True	0.5	0.9768803691442007
66	72	On the ceiling there are three empty squares, which housed three now lots of paintings by Palma il Giovane, which had been donated by the noblewoman Marietta Foscarini during the construction of the church	126	en	Criteria i	Criteria ii	Criteria iv	0.6096934080123901	0.9291762411594392	Criteria i	Criteria vi	Criteria iii	0.82971877	0.92010856	True	0.2	0.9511315212822661
67	73	Santa Fosca a church in Cannaregio one of the six sestieri of Venice in Veneto, Italy	127	en	Criteria i	Criteria vi	Criteria iv	0.4517552554607391	0.7947063595056534	Criteria i	Criteria iv	Criteria vi	0.5031536	0.7813435	True	1.0	0.9907616403415588
68	74	Adjacent to the Strada Nova, it faces the campo of Santa Fosca, on whichs campo stands the monument with a bronze monument of Paolo Sarpi	127	en	Criteria i	Criteria vi	Criteria iv	0.2982328236103058	0.7095123529434204	Criteria i	Criteria iv	Criteria vi	0.7389694	0.9049748	True	1.0	0.76460885819819
69	75	Documents attest to a church of this name dating to the 10th century, while the present building dates to reconstructions beginning in the 18th century	127	en	Criteria iii	Criteria iv	Criteria ii	0.8333477973937988	0.953207939863205	Criteria iv	Criteria ii	Criteria iii	0.465303	0.90814525	False	1.0	0.47456971695024086
70	76	The facade was designed by Domenico Rossi and built with the patronage of the patrician Donà family who resided in the adjacent Palazzo Giovanelli	127	en	Criteria i	Criteria iv	Criteria ii	0.5759516954421997	0.887039840221405	Criteria i	Criteria vi	Criteria ii	0.7995537	0.90889233	True	0.5	0.958778946219605
71	77	The church now belongs to the parish of San Marcuola	127	en	Criteria vi	Criteria iii	Criteria iv	0.316683679819107	0.7964814454317093	Criteria vi	Criteria iv	Criteria i	0.24752435	0.6897095	True	0.5	0.9523936539135021
72	78	The interior has a Trinity and the Virgin by Filippo Bianchi, while the Life of Santa Fosca altarpieces were painted by Francesco Migliori	127	en	Criteria i	Criteria iv	Criteria iii	0.7226963639259338	0.912399798631668	Criteria i	Criteria ii	Criteria iv	0.79151714	0.9216472	True	0.5	0.9863041875390274
73	79	It has tags of cannaregio, italy, italianrepublic, repubblicaitaliana, europe, mediterranean, venice, veneto, venezia, venesia, urban, city, sestieri, venetianrepublic, chiesadisantaforsca, santafosca, church, chapel, worship, religion, christ, christian, christianity	127	en	Criteria iii	Criteria ii	Criteria vi	0.401308000087738	0.8182791173458099	Criteria iv	Criteria ii	Criteria vi	0.38362697	0.83847076	False	0.5	0.7051642906069545
74	80	The Cannaregio Canal in Cannaregio one of the six sestieri of Venice in Veneto, Italy	128	en	Criteria ii	Criteria i	Criteria iv	0.2853909730911255	0.7444198280572891	Criteria i	Criteria iv	Criteria ii	0.51803833	0.8590578	False	1.0	0.7775703546722139
75	81	It was the main route into the city until the construction of a railway link to the mainland, gave the district its name (Canal Regio is Italian for Royal Canal)	128	en	Criteria ii	Criteria iv	Criteria i	0.3823675811290741	0.8368937224149704	Criteria iv	Criteria ii	Criteria i	0.55808526	0.9032107	False	1.0	0.8858932545211743
76	82	Development began in the eleventh century as the area was drained and parallel canals were dredged	128	en	Criteria iv	Criteria ii	Criteria iii	0.368754893541336	0.7745628952980042	Criteria iv	Criteria ii	Criteria i	0.6814503	0.90295744	True	0.5	0.8784824610853862
77	83	Although elegant palazzos were built facing the Grand Canal, the area grew primarily with working class housing and manufacturing	128	en	Criteria iv	Criteria ii	Criteria i	0.6493576765060425	0.8969689235091209	Criteria iv	Criteria ii	Criteria vi	0.8589402	0.9409385	True	0.5	0.9749431718817105
78	84	The canal still runs as an important part of the district	128	en	Criteria viii	Criteria ix	Criteria vii	0.1697679758071899	0.4596657454967499	Criteria iv	Criteria ii	Criteria v	0.45456204	0.89034426	False	0.0	0.4806290361711018
79	85	Campo San Geremia square in Cannaregio one of the six sestieri of Venice in Veneto, Italy	129	en	Criteria vi	Criteria iii	Criteria iv	0.3783636093139648	0.8067211508750916	Criteria i	Criteria vi	Criteria iv	0.48888883	0.85493916	False	0.5	0.5892768116803383
80	86	Cannaregio is the northernmost of the six historic sestieri (districts) of Venice	129	en	Criteria iv	Criteria iii	Criteria x	0.2204819023609161	0.5390408560633659	Criteria iv	Criteria ii	Criteria vi	0.8047531	0.9122523	True	0.2	0.6448343672976715
81	87	It is the second largest sestiere by land area and the largest by population, with 13,169 people as of 2007	129	en	Criteria vii	Criteria x	Criteria viii	0.4377069473266601	0.8876481056213379	Criteria x	Criteria ix	Criteria v	0.6850644	0.8081804	False	0.2	0.6025448460910242
82	88	Isola di San Michele, the historic cemetery island, is associated with the district	129	en	Criteria vi	Criteria iii	Criteria iv	0.4077343046665191	0.8236451148986816	Criteria iv	Criteria ii	Criteria vi	0.7824454	0.9276712	False	0.5	0.44558340342873026
83	89	The Cannaregio Canal, which was the main route into the city until the construction of a railway link to the mainland, gave the district its name (Canal Regio is Italian for Royal Canal)	129	en	Criteria ii	Criteria iv	Criteria i	0.3700032234191894	0.8547279089689255	Criteria iv	Criteria ii	Criteria i	0.783037	0.9332065	False	1.0	0.6931580982486147
84	90	Development began in the eleventh century as the area was drained and parallel canals were dredged	129	en	Criteria iv	Criteria ii	Criteria iii	0.368754893541336	0.7745628952980042	Criteria iv	Criteria ii	Criteria i	0.6814503	0.90295744	True	0.5	0.8784824610853862
85	91	Although elegant palazzos were built facing the Grand Canal, the area grew primarily with working class housing and manufacturing	129	en	Criteria iv	Criteria ii	Criteria i	0.6493576765060425	0.8969689235091209	Criteria iv	Criteria ii	Criteria vi	0.8589402	0.9409385	True	0.5	0.9749431718817105
86	92	Beginning in 1516, Jews were restricted to living in the Venetian Ghetto	129	en	Criteria iii	Criteria iv	Criteria ii	0.3147228062152862	0.762352854013443	Criteria vi	Criteria iv	Criteria iii	0.40821987	0.85350233	False	0.5	0.7203563036846774
87	93	It was enclosed by guarded gates and no one was allowed to leave from sunset to dawn	129	en	Criteria iii	Criteria iv	Criteria i	0.3312826156616211	0.7526158690452576	Criteria vi	Criteria iii	Criteria iv	0.36919987	0.7286804	False	0.5	0.6906651892641257
88	94	However, Jews held successful positions in the city such as merchants, physicians, money lenders, and other trades	129	en	Criteria ii	Criteria iii	Criteria vi	0.4140981137752533	0.8516715615987778	Criteria iii	Criteria iv	Criteria vi	0.6955466	0.8945874	False	0.5	0.6664905688716352
89	95	Restrictions on daily Jewish life continued for more than 270 years, until Napoleon Bonaparte conquered the Venetian Republic in 1797	129	en	Criteria iii	Criteria vi	Criteria iv	0.4856578707695007	0.8311051428318024	Criteria iii	Criteria iv	Criteria vi	0.48377421	0.8521241	True	1.0	0.9842405827658189
90	96	He removed the gates and gave all residents the freedom to live where they chose	129	en	Criteria vi	Criteria iii	Criteria iv	0.365445464849472	0.8118759393692017	Criteria vi	Criteria iii	Criteria iv	0.49575812	0.8469801	True	1.0	0.9576609465249099
91	97	In the 19th century, civil engineers built a street named Strada Nuova through Cannaregio, and a railway bridge and road bridge were constructed to connect Venice directly to Mestre	129	en	Criteria ii	Criteria iv	Criteria i	0.5714459419250488	0.9154504016041756	Criteria ii	Criteria iv	Criteria i	0.84408104	0.95073044	True	1.0	0.938546775774051
92	98	Today, the areas of the district along the Grand Canal from the train station to the Rialto Bridge are packed with tourists, but the rest of Cannaregio is residential and relatively peaceful, with morning markets, neighbourhood shops, and small cafés	129	en	Criteria v	Criteria iv	Criteria iii	0.5417222380638123	0.9384411126375198	Criteria iv	Criteria v	Criteria vi	0.47163543	0.7907461	False	0.5	0.7750092950960279
93	99	It has title of Acoustic wedge (mirrored) - 2020 - and art lover	130	en	Criteria vi	Criteria iii	Criteria i	0.2597425282001495	0.7123104333877563	Criteria i	Criteria vi	Criteria iii	0.43190423	0.6313113	False	1.0	0.7477957320234021
94	101	Bridge of Sighs	133	en	Criteria i	Criteria ii	Criteria iv	0.4131196737289428	0.7406208366155624	Criteria i	Criteria vi	Criteria vii	0.3433847	0.6825448	True	0.2	0.8886257578500906
95	103	St Marks Square	134	en	Criteria i	Criteria vi	Criteria iv	0.5905072093009949	0.8436687365174294	Criteria i	Criteria iv	Criteria vi	0.53598595	0.82550883	True	1.0	0.9738930148901893
96	106	It has tags of europe, italy, venice	134	en	Criteria ii	Criteria iii	Criteria vi	0.4364061951637268	0.8197838664054871	Criteria ii	Criteria i	Criteria iv	0.739664	0.9229564	True	0.2	0.8613633133503991
97	107	St Marks Square	135	en	Criteria i	Criteria vi	Criteria iv	0.5905072093009949	0.8436687365174294	Criteria i	Criteria iv	Criteria vi	0.53598595	0.82550883	True	1.0	0.9738930148901893
98	110	It has tags of europe, italy, venice	135	en	Criteria ii	Criteria iii	Criteria vi	0.4364061951637268	0.8197838664054871	Criteria ii	Criteria i	Criteria iv	0.739664	0.9229564	True	0.2	0.8613633133503991
99	111	St Marks Square	136	en	Criteria i	Criteria vi	Criteria iv	0.5905072093009949	0.8436687365174294	Criteria i	Criteria iv	Criteria vi	0.53598595	0.82550883	True	1.0	0.9738930148901893
100	113	It has tags of europe, italy, venice	136	en	Criteria ii	Criteria iii	Criteria vi	0.4364061951637268	0.8197838664054871	Criteria ii	Criteria i	Criteria iv	0.739664	0.9229564	True	0.2	0.8613633133503991
101	115	It has tags of churches, italy, venice, europe	137	en	Criteria iii	Criteria iv	Criteria ii	0.357607901096344	0.8638757467269897	Criteria ii	Criteria i	Criteria iv	0.70388716	0.9031501	False	0.5	0.39717226494836505
102	117	It has tags of europe, italy, venice	138	en	Criteria ii	Criteria iii	Criteria vi	0.4364061951637268	0.8197838664054871	Criteria ii	Criteria i	Criteria iv	0.739664	0.9229564	True	0.2	0.8613633133503991
103	118	St Marks Square	154	en	Criteria i	Criteria vi	Criteria iv	0.5905072093009949	0.8436687365174294	Criteria i	Criteria iv	Criteria vi	0.53598595	0.82550883	True	1.0	0.9738930148901893
104	121	It has tags of family, europe, italy, venice	154	en	Criteria iii	Criteria vi	Criteria iv	0.5584295988082886	0.8414011001586914	Criteria ii	Criteria i	Criteria iv	0.75857943	0.90909433	False	0.2	0.23637225447515287
