	origin	index	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
13	53	51854525966	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
14	54	51853562592	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
15	55	51853562417	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
16	56	51854602848	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
17	57	51854602688	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
18	59	51854602318	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
19	60	51854848929	Criteria iii	Criteria vi	Criteria iv	0.3416681587696075	0.7305513620376587	Criteria i	Criteria ii	Criteria iii	0.39632198	0.8433104	False	0.2	0.5680875261600168
20	61	51854523271	Criteria iii	Criteria vi	Criteria iv	0.3416681587696075	0.7305513620376587	Criteria i	Criteria ii	Criteria iii	0.39632198	0.8433104	False	0.2	0.5680875261600168
21	62	51854848619	Criteria iii	Criteria vi	Criteria iv	0.3416681587696075	0.7305513620376587	Criteria i	Criteria ii	Criteria iii	0.39632198	0.8433104	False	0.2	0.5680875261600168
22	63	51854600423	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
23	64	51853558867	Criteria iii	Criteria vi	Criteria iv	0.3416681587696075	0.7305513620376587	Criteria i	Criteria ii	Criteria iv	0.47779572	0.8295875	False	0.2	0.4997007236314679
24	65	51855179155	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
25	66	51853558582	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
26	67	51853322782	Criteria iii	Criteria vi	Criteria iv	0.2955279648303985	0.6590090394020081	Criteria iii	Criteria x	Criteria i	0.32082868	0.64488536	True	0.2	0.7728804871571258
27	74	51849934309	Criteria iv	Criteria iii	Criteria ii	0.336156815290451	0.7227717638015747	Criteria iv	Criteria vii	Criteria i	0.2427357	0.48625746	True	0.2	0.8430200570240785
28	79	51847785831	Criteria vi	Criteria iii	Criteria iv	0.4641944468021393	0.8569446802139282	Criteria iv	Criteria ii	Criteria iii	0.5396289	0.85996675	False	0.5	0.4539116045235061
29	83	51846344255	Criteria vi	Criteria iii	Criteria iv	0.3013690710067749	0.7124858498573303	Criteria vi	Criteria i	Criteria iv	0.28357404	0.7128121	True	0.5	0.9366485076442459
30	84	51843895627	Criteria ii	Criteria iv	Criteria i	0.3654581010341644	0.8524356186389923	Criteria iv	Criteria iii	Criteria i	0.40414783	0.81338537	False	0.5	0.7914806462800444
31	85	51843644522	Criteria iv	Criteria vi	Criteria ii	0.2548851072788238	0.6573116332292557	Criteria ii	Criteria iv	Criteria i	0.39342117	0.8202296	False	0.5	0.8300459038371694
32	87	51843201005	Criteria ii	Criteria iv	Criteria iii	0.4612047970294952	0.8298189640045166	Criteria iv	Criteria ii	Criteria x	0.27353278	0.6147355	False	0.5	0.848518190323126
33	88	51843200935	Criteria iv	Criteria ii	Criteria v	0.3678282797336578	0.7812768071889877	Criteria iv	Criteria v	Criteria ii	0.7286455	0.90687597	True	1.0	0.8391692245333889
34	89	51844341038	Criteria vi	Criteria iii	Criteria i	0.5229307413101196	0.8273059874773026	Criteria i	Criteria ii	Criteria vi	0.65932304	0.8644442	False	0.5	0.4213222950923058
35	90	51844226641	Criteria vi	Criteria i	Criteria iii	0.5339118838310242	0.8332032412290573	Criteria i	Criteria ii	Criteria vi	0.63622147	0.84865165	False	0.5	0.45600913238984236
36	94	51853563502	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
37	95	51855182360	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
38	96	51854523866	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
39	97	51854523651	Criteria iii	Criteria vi	Criteria i	0.2793685793876648	0.6648914441466331	Criteria iv	Criteria ii	Criteria i	0.37038246	0.79262406	False	0.2	0.5802234522414311
40	100	51834258274	Criteria vi	Criteria i	Criteria iii	0.229727417230606	0.588379368185997	Criteria vi	Criteria i	Criteria iii	0.3098775	0.7809886	True	1.0	0.9528819357400854
41	108	51830349616	Criteria vi	Criteria i	Criteria ii	0.3091362118721008	0.6613850295543671	Criteria i	Criteria iv	Criteria ii	0.48349673	0.8709472	False	0.5	0.5937471404215929
42	109	51829875044	Criteria i	Criteria ii	Criteria iv	0.3541244864463806	0.7706289291381836	Criteria i	Criteria ii	Criteria iii	0.7885329	0.9173299	True	0.5	0.8149252913917517
43	110	51828922226	Criteria iii	Criteria iv	Criteria vi	0.607407808303833	0.8427985832095146	Criteria i	Criteria ii	Criteria iii	0.50239545	0.8041657	False	0.2	0.3383416581870268
44	113	51828529143	Criteria iii	Criteria vi	Criteria iv	0.4161185920238495	0.7948429137468338	Criteria i	Criteria ii	Criteria iv	0.4024482	0.8353927	False	0.2	0.44296322317004716
45	114	51828195738	Criteria vi	Criteria iii	Criteria i	0.5641939043998718	0.830492228269577	Criteria i	Criteria ii	Criteria iv	0.8354188	0.9260422	False	0.2	0.25934302567789624
46	115	51828097098	Criteria iii	Criteria vi	Criteria ii	0.3764794468879699	0.837392620742321	Criteria i	Criteria vi	Criteria iii	0.31579724	0.75981444	False	0.5	0.7368978807952796
47	120	51824890073	Criteria vi	Criteria iii	Criteria ii	0.5320568680763245	0.9357987195253372	Criteria vi	Criteria iv	Criteria ii	0.49817723	0.7928413	True	0.5	0.8686759022383348
48	121	51822964167	Criteria vi	Criteria iii	Criteria iv	0.5098510384559631	0.8471018746495247	Criteria iii	Criteria iv	Criteria vi	0.27053958	0.7040098	False	1.0	0.7911189621527336
49	122	51823715811	Criteria iii	Criteria ii	Criteria vi	0.4559274017810821	0.8530843257904053	Criteria ii	Criteria i	Criteria iv	0.37944347	0.78634137	False	0.2	0.5029991096549175
50	123	51822439433	Criteria vi	Criteria iii	Criteria i	0.3808118104934692	0.7708944082260132	Criteria i	Criteria iv	Criteria vi	0.33843073	0.78640985	False	0.5	0.7403251312653348
51	124	51822867500	Criteria vi	Criteria iii	Criteria i	0.4881226718425751	0.8183672726154327	Criteria i	Criteria ii	Criteria iv	0.8179829	0.9136201	False	0.2	0.30957984630957375
52	126	51820102472	Criteria i	Criteria iv	Criteria ii	0.3400411009788513	0.8563272953033447	Criteria iv	Criteria i	Criteria ii	0.63018894	0.88005704	False	1.0	0.8054662955025992
53	127	51821770875	Criteria iv	Criteria i	Criteria ii	0.2986546754837036	0.6640930473804474	Criteria ii	Criteria i	Criteria iv	0.398746	0.8784967	False	1.0	0.751302031911221
54	128	51820102347	Criteria iv	Criteria ii	Criteria iii	0.4733843803405761	0.857768252491951	Criteria iv	Criteria ii	Criteria i	0.77767617	0.91966355	True	0.5	0.8990755486484562
55	129	51820100327	Criteria iv	Criteria ii	Criteria v	0.3625968992710113	0.7948852032423019	Criteria iv	Criteria ii	Criteria v	0.77026397	0.9107488	True	1.0	0.8179831651804964
56	130	51821357285	Criteria vi	Criteria iii	Criteria ii	0.3886554539203644	0.8179904520511627	Criteria ii	Criteria i	Criteria iv	0.5708523	0.87115085	False	0.2	0.32781328640912627
57	132	51820580920	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
58	133	51819976423	Criteria i	Criteria ii	Criteria iv	0.4131196737289428	0.7406208366155624	Criteria i	Criteria vi	Criteria vii	0.3433847	0.6825448	True	0.2	0.8886257578500906
59	134	51819976168	Criteria ii	Criteria iii	Criteria vi	0.2988913953304291	0.7224381864070892	Criteria ii	Criteria i	Criteria iv	0.7706205	0.92995495	True	0.2	0.7096547701800142
60	135	51820205804	Criteria ii	Criteria iii	Criteria vi	0.2988913953304291	0.7224381864070892	Criteria ii	Criteria i	Criteria iv	0.7706205	0.92995495	True	0.2	0.7096547701800142
61	136	51820580275	Criteria ii	Criteria iii	Criteria vi	0.2988913953304291	0.7224381864070892	Criteria ii	Criteria i	Criteria iv	0.7706205	0.92995495	True	0.2	0.7096547701800142
62	137	51819975468	Criteria iv	Criteria iii	Criteria ii	0.3722216486930847	0.7806347161531448	Criteria ii	Criteria i	Criteria iv	0.62204444	0.9179865	False	0.5	0.41867289054433166
63	138	51819975243	Criteria ii	Criteria iii	Criteria vi	0.4364061951637268	0.8197838664054871	Criteria ii	Criteria i	Criteria iv	0.739664	0.9229564	True	0.2	0.8613633133503991
64	139	51819868383	Criteria vi	Criteria iii	Criteria i	0.2956420481204986	0.7072630077600479	Criteria iii	Criteria vi	Criteria iv	0.49794567	0.87665665	False	0.5	0.9134994457306167
65	140	51819169383	Criteria i	Criteria vi	Criteria iii	0.3038128316402435	0.7450643330812454	Criteria i	Criteria ii	Criteria iv	0.54347765	0.9023798	True	0.2	0.7478654191647244
66	141	51818440638	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
67	142	51818666444	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
68	143	51817375982	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
69	144	51818666119	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
70	145	51818328371	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
71	146	51817375772	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
72	147	51818665949	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
73	148	51825909971	Criteria iii	Criteria vi	Criteria iv	0.2930352985858917	0.6197246760129929	Criteria iv	Criteria iii	Criteria ii	0.3497549	0.78627765	False	0.5	0.7687328433442044
74	154	51819861581	Criteria iii	Criteria iv	Criteria vi	0.4412170946598053	0.8349965959787369	Criteria ii	Criteria i	Criteria iv	0.7612596	0.9178561	False	0.2	0.2538289876832519
75	155	51818751977	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
76	156	51820291650	Criteria iii	Criteria vi	Criteria iv	0.3082337081432342	0.7192384302616119	Criteria vi	Criteria iv	Criteria i	0.2755515	0.64436233	False	0.5	0.937273674165432
77	157	51819039520	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
78	158	51818666304	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
79	159	51817375692	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
80	160	51818665794	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
81	161	51818328016	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
82	162	51819038725	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
83	163	51819038460	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
84	164	51818665339	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
85	165	51819038370	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
86	166	51818327671	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
87	167	51818439003	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
88	168	51818438958	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
89	169	51817374707	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
90	170	51819037550	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
91	171	51817723298	Criteria iii	Criteria vi	Criteria iv	0.4186784923076629	0.7999371141195297	Criteria iii	Criteria iv	Criteria i	0.36107862	0.83022475	True	0.5	0.8238200072508037
92	172	51818324935	Criteria iii	Criteria vi	Criteria iv	0.4186784923076629	0.7999371141195297	Criteria iii	Criteria iv	Criteria i	0.36107862	0.83022475	True	0.5	0.8238200072508037
93	173	51817067523	Criteria iii	Criteria vi	Criteria iv	0.4186784923076629	0.7999371141195297	Criteria iii	Criteria iv	Criteria i	0.36107862	0.83022475	True	0.5	0.8238200072508037
94	174	51817067113	Criteria iii	Criteria vi	Criteria iv	0.4369856119155884	0.7826573252677917	Criteria iii	Criteria iv	Criteria i	0.6692266	0.8588403	True	0.5	0.9107561277013672
95	175	51821768675	Criteria iv	Criteria ii	Criteria v	0.3533945679664612	0.7965944111347198	Criteria iv	Criteria ii	Criteria v	0.7898264	0.91571414	True	1.0	0.791982643837803
96	176	51818328541	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
97	177	51817375257	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
98	178	51819038155	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
99	179	51818664964	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
100	181	51813263906	Criteria iv	Criteria ii	Criteria v	0.4732453525066376	0.7925688028335571	Criteria vi	Criteria iv	Criteria v	0.318542	0.7236879	False	0.5	0.7559220795854819
101	182	51815556807	Criteria iii	Criteria vi	Criteria iv	0.3642898499965668	0.8450809270143509	Criteria i	Criteria vi	Criteria iv	0.56233466	0.8275099	False	0.5	0.4024747417510657
102	183	51816607709	Criteria vi	Criteria i	Criteria ii	0.3091362118721008	0.6613850295543671	Criteria i	Criteria iv	Criteria ii	0.6545891	0.90642834	False	0.5	0.5792109667371137
103	185	51815159068	Criteria iii	Criteria vi	Criteria ii	0.2511038780212402	0.6961691379547119	Criteria i	Criteria iv	Criteria ii	0.3985203	0.82241535	False	0.2	0.6358185487924668
104	188	51814758850	Criteria iii	Criteria vi	Criteria iv	0.4559855163097381	0.8137365430593491	Criteria vi	Criteria iii	Criteria iv	0.6944002	0.8923558	False	1.0	0.5718073020148171
105	189	51813044163	Criteria iii	Criteria iv	Criteria vi	0.3326559066772461	0.7304878979921341	Criteria vi	Criteria iii	Criteria iv	0.4993515	0.72340524	False	1.0	0.6654293849880459
106	192	51812525591	Criteria iii	Criteria vi	Criteria iv	0.7375085949897766	0.9012267217040062	Criteria iii	Criteria iv	Criteria ii	0.28699937	0.75372285	True	0.5	0.7360831783521149
107	193	51812020818	Criteria vi	Criteria i	Criteria iii	0.5336893796920776	0.8228931725025177	Criteria i	Criteria ii	Criteria vi	0.74786925	0.8905881	False	0.5	0.3673824489134016
108	194	51811663725	Criteria iii	Criteria vi	Criteria iv	0.513938307762146	0.8820239305496216	Criteria iv	Criteria vi	Criteria iii	0.4121093	0.75323045	False	1.0	0.5562617163084385
109	205	51811206974	Criteria iii	Criteria vi	Criteria iv	0.2819192409515381	0.7054283767938614	Criteria i	Criteria iv	Criteria iii	0.4086474	0.7401678	False	0.5	0.6954400136163251
110	212	51808411262	Criteria iii	Criteria ii	Criteria iv	0.321326345205307	0.7668740004301071	Criteria iii	Criteria vi	Criteria ii	0.2831831	0.73330534	True	0.5	0.9583221282091516
111	213	51809175541	Criteria vii	Criteria iii	Criteria viii	0.2141568511724472	0.5561975836753845	Criteria i	Criteria ii	Criteria vi	0.7280352	0.879614	False	0.0	0.30863166722929924
112	214	51813884291	Criteria vi	Criteria iii	Criteria ii	0.3825343251228332	0.80091492831707	Criteria ii	Criteria iv	Criteria i	0.25269184	0.70643955	False	0.2	0.6841252716154524
113	215	51810648366	Criteria vi	Criteria iii	Criteria ii	0.4222374856472015	0.7609261125326157	Criteria iv	Criteria iii	Criteria vi	0.25273404	0.6883216	False	0.5	0.8049483930301867
114	226	51807744711	Criteria vii	Criteria iii	Criteria vi	0.3922368586063385	0.6292521432042122	Criteria vi	Criteria iii	Criteria iv	0.52920955	0.8170427	False	0.5	0.3851660504775617
115	231	51801769365	Criteria iv	Criteria ii	Criteria iii	0.3489686846733093	0.8539372235536575	Criteria iii	Criteria iv	Criteria vi	0.56994104	0.8702564	False	0.5	0.6279961560141278
116	233	51799341140	Criteria i	Criteria ii	Criteria vi	0.2590782344341278	0.6679692268371582	Criteria i	Criteria iv	Criteria ii	0.6157573	0.883568	True	0.5	0.7811899154789996
117	239	51794415520	Criteria vi	Criteria iii	Criteria iv	0.6679612398147583	0.8720356673002243	Criteria i	Criteria ii	Criteria iii	0.85856223	0.92634827	False	0.2	0.1439744676934945
118	241	51792087624	Criteria iii	Criteria vi	Criteria iv	0.2938882410526275	0.6640515625476837	Criteria vii	Criteria x	Criteria iv	0.3742138	0.64305556	False	0.2	0.3509910470378878
119	247	51789899534	Criteria iii	Criteria iv	Criteria vi	0.5093210339546204	0.7913563475012779	Criteria i	Criteria ii	Criteria iv	0.4138261	0.8261312	False	0.2	0.4353107596445068
120	256	51806519450	Criteria ii	Criteria iv	Criteria iii	0.6491093635559082	0.866494856774807	Criteria iv	Criteria ii	Criteria v	0.52866095	0.7760148	False	0.5	0.39933166871464393
121	257	51805797906	Criteria ii	Criteria vi	Criteria iii	0.5915699005126953	0.8509905263781548	Criteria iv	Criteria ii	Criteria v	0.5891665	0.8077101	False	0.2	0.44004144192593364
122	258	51806518885	Criteria ii	Criteria iv	Criteria vi	0.654671311378479	0.8750230297446251	Criteria iv	Criteria ii	Criteria i	0.5002887	0.8559961	False	0.5	0.6638136817376095
123	270	51773798516	Criteria vi	Criteria iii	Criteria i	0.357271283864975	0.6919421553611755	Criteria iii	Criteria vi	Criteria iv	0.58730406	0.8290176	False	0.5	0.6675677947955947
124	271	51773860615	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
125	272	51773618664	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
126	275	51768265871	Criteria vi	Criteria iii	Criteria iv	0.3646588027477264	0.7438337057828903	Criteria i	Criteria iv	Criteria ii	0.6442271	0.8292957	False	0.2	0.39891307003957377
127	279	51763377306	Criteria iii	Criteria vi	Criteria iv	0.3712559342384338	0.7475670725107193	Criteria iv	Criteria vi	Criteria ii	0.57727414	0.8308448	False	0.5	0.567460079039191
128	283	51757222596	Criteria iii	Criteria vi	Criteria iv	0.5379883050918579	0.8433763086795807	Criteria ii	Criteria iv	Criteria i	0.7197343	0.9434117	False	0.2	0.23400209372922878
129	284	51757193061	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
130	285	51756361252	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
131	286	51757437448	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
132	288	51772974586	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
133	289	51773217128	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
134	290	51772973266	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
135	291	51773617819	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
136	292	51773855395	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
137	293	51773266785	Criteria iii	Criteria vi	Criteria iv	0.4369856119155884	0.7826573252677917	Criteria iii	Criteria iv	Criteria i	0.6692266	0.8588403	True	0.5	0.9107561277013672
138	294	51772995254	Criteria iii	Criteria vi	Criteria iv	0.4369856119155884	0.7826573252677917	Criteria iii	Criteria iv	Criteria i	0.6692266	0.8588403	True	0.5	0.9107561277013672
139	295	51772193016	Criteria vii	Criteria viii	Criteria ix	0.266235888004303	0.6063840836286545	Criteria x	Criteria vii	Criteria i	0.35996294	0.61238915	False	0.2	0.7409507755232514
140	310	51757420063	Criteria iii	Criteria vi	Criteria iv	0.543728768825531	0.8483984023332596	Criteria ii	Criteria iv	Criteria i	0.72619736	0.9360437	False	0.2	0.21632983163412325
141	311	51757408888	Criteria iii	Criteria vi	Criteria iv	0.5379883050918579	0.8433763086795807	Criteria ii	Criteria iv	Criteria i	0.7197343	0.9434117	False	0.2	0.23400209372922878
142	312	51757433788	Criteria iii	Criteria vi	Criteria iv	0.8351180553436279	0.9461606927216052	Criteria i	Criteria x	Criteria iii	0.27094024	0.5657783	False	0.2	0.3494158883190213
143	314	51755781605	Criteria iii	Criteria vi	Criteria iv	0.3082337081432342	0.7192384302616119	Criteria vi	Criteria iv	Criteria i	0.2755515	0.64436233	False	0.5	0.937273674165432
144	315	51754856041	Criteria iii	Criteria vi	Criteria iv	0.3808384537696838	0.7683636844158173	Criteria i	Criteria iv	Criteria ii	0.84972125	0.932819	False	0.2	0.21314006409104655
