	index	sentence	origin	lang
28	30	The building was founded circa 1213 and consecrated in 1306 by the bishop of Utrecht with Saint Nicolas as its patron saint	18	en
29	31	After the Reformation in 1578, it became a Calvinist church, which it remains today	18	en
30	32	It stands in De Wallen, now Amsterdam's main red-light district	18	en
31	33	The square surrounding the church is the Oudekerksplein	18	en
32	34	By around 1213, a wooden chapel had been erected at the location of today's Oude Kerk	18	en
33	35	Over time, this structure was replaced by a stone church that was consecrated in 1306	18	en
34	36	The church has seen several renovations performed by 15 generations of Amsterdam citizens	18	en
35	37	The church stood for only a half-century before the first alterations were made	18	en
36	38	the aisles were lengthened and wrapped around the choir in a half circle to support the structure	18	en
37	39	Not long after the turn of the 15th century, north and south transepts were added to the church creating a cross formation	18	en
38	40	Work on these renovations was completed in 1460, though it is likely that progress was largely interrupted by the great fires that besieged the city in 1421 and 1452	18	en
39	41	This delayed the building for almost 1 year	18	en
40	42	Before the Alteratie, or Reformation in Amsterdam of 1578, the Oude Kerk was Roman Catholic	18	en
41	44	Throughout the 16th-century battles, the church was looted and defaced on numerous occasions, first in the Beeldenstorm of 1566, when a mob destroyed most of the church art and fittings, including an altarpiece with a central panel by Jan van Scorel and side panels painted on both sides by Maarten van Heemskerck	18	en
42	45	Only the paintings on the ceiling, which were unreachable, were spared.	18	en
43	46	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	18	en
44	47	The Munttoren (.Mint Tower.) or Munt is a tower in Amsterdam, the Netherlands	19	en
45	48	It stands on the busy Muntplein square, where the Amstel river and the Singel canal meet, near the flower market and the eastern end of the Kalverstraat shopping street	19	en
46	49	The tower was originally part of the Regulierspoort, one of the main gates in Amsterdam's medieval city wall	19	en
47	50	The gate, built in the year 1480 consisted of two towers and a guard house	19	en
48	51	After the gate went up in flames in a 1618 fire, only the guard house and part of the western tower remained standing	19	en
49	52	The tower was then rebuilt in Amsterdam Renaissance style in 1620, with an eight-sided top half and elegant open spire designed by Hendrick de Keyser, featuring a clockwork with four clockfaces and a carillon of bells	19	en
50	53	The name of the tower refers to the fact that the guard house on side of it was used to mint coins in the 17th Century	19	en
51	54	In the Rampjaar (.disastrous year.) of 1672, when both England and France declared war on the Dutch Republic and French troops occupied much of the country, silver and gold could no longer be safely transported to Dordrecht and Enkhuizen (where coins were normally minted), so the guard house of the Munttoren was temporarily used to mint coin	19	en
52	55	The present guard house is not the original medieval structure but a 19th-century fantasy	19	en
53	56	The original guard house, which had survived the fire of 1618 relatively unscathed, was replaced with a new building during 1885-1887 in Neo-Renaissance style	19	en
54	57	The architect was Willem Springer An underpass between the tower and the building was made during the 1938-1939 renovation	19	en
55	58	The Munttoren received new extra foundations to prevent it from sagging during construction of the Noord/Zuidlijn, the new metro line.	19	en
56	59	It has tags of harveybarrison, hbarrison, amsterdam, unescoworldheritage, netherlands, travelphotography	19	en
57	60	A coffee shop on the left and on the right The Book Exchange, Kloveniersburgwal.	22	en
58	61	It has tags of vincentmentzel, retrospective, photography, exhibition, rijksmuseum, amsterdam	23	en
59	62	It has tags of tair, amsterdam, northholland, netherlands	28	en
60	63	It has tags of tair, amsterdam, northholland, netherlands	29	en
61	64	It has tags of tair, amsterdam, northholland, netherlands	30	en
62	65	It has tags of tair, amsterdam, northholland, netherlands	31	en
63	66	It has tags of xt, amsterdam, whiteframe, sng	32	en
64	67	crop wide open	33	en
65	69	It has tags of tokinawideauto, f, lenstest, amsterdam, northholland, netherlands	33	en
66	70	crop wide open	34	en
67	72	It has tags of autochinon, f, lenstest, amsterdam, northholland, netherlands	34	en
68	73	It has tags of autochinon, f, lenstest, amsterdam, northholland, netherlands	35	en
69	74	It has tags of tokinawideauto, f, lenstest, amsterdam, northholland, netherlands	36	en
70	75	It has tags of autochinon, f, lenstest, amsterdam, northholland, netherlands	37	en
71	76	Expressive architectural solutions for street corners are a hallmark of the city extenstions in Berlage's overall plan from the time	47	en
72	77	The Oude Kerk (Old Church) is Amsterdam’s oldest building and youngest art institutes (since 2012)	48	en
73	78	The building was founded circa 1213 and consecrated in 1306 by the bishop of Utrecht with Saint Nicolas as its patron saint	48	en
74	79	After the Reformation in 1578, it became a Calvinist church, which it remains today	48	en
75	80	The square surrounding the church is the Oudekerksplein	48	en
76	81	By around 1213, a wooden chapel had been erected at the location of today's Oude Kerk	48	en
77	82	Over time, this structure was replaced by a stone church that was consecrated in 1306	48	en
78	83	The church has seen several renovations performed by 15 generations of Amsterdam citizens	48	en
79	84	The church stood for only a half-century before the first alterations were made	48	en
80	85	the aisles were lengthened and wrapped around the choir in a half circle to support the structure	48	en
81	86	Not long after the turn of the 15th century, north and south transepts were added to the church creating a cross formation	48	en
82	87	Work on these renovations was completed in 1460, though it is likely that progress was largely interrupted by the great fires that besieged the city in 1421 and 1452	48	en
83	88	This delayed the building for almost 1 year	48	en
84	89	Before the Alteratie, or Reformation in Amsterdam of 1578, the Oude Kerk was Roman Catholic	48	en
85	91	Throughout the 16th-century battles, the church was looted and defaced on numerous occasions, first in the Beeldenstorm of 1566, when a mob destroyed most of the church art and fittings, including an altarpiece with a central panel by Jan van Scorel and side panels painted on both sides by Maarten van Heemskerck	48	en
86	92	Only the paintings on the ceiling, which were unreachable, were spared.	48	en
87	93	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	48	en
88	94	It has tags of nederland, netherlands, holland, amsterdam, gvb, tram, tramway, trapwagen, bn, centraal, station	50	en
89	95	It has tags of nederland, netherlands, holland, amsterdam, gvb, tram, tramway, siemens, combino, centraal, station	52	en
90	96	It has tags of fotografie, photography, fotograferen, systeemcamera, systemcamera, avondfotografie, eveningphotography, nachtfotografie, nightphotography, nightshot, straatfotografie, streetphotography, sonya, a, ttartisans, ttartisans, nederland, netherlands, holland, paysbas, dutch, niederlande, europe, europa, amsterdam, amsterdamcentrum, amsterdamcenter, amsterdamcentre, centrum, centre, center, binnenstad, grachten, canals, bruggen, bridges, water, lichtval, light, avondlucht, avondlicht, blauwelucht, blauweluchten, grachtenhuis, grachtenhuizen, pakhuizen, warehouse, warehouses, grachtenpand, grachtenpanden, monumentaal, monument, historic, lichtfestival, festivaloflights, lightfestival, woonboot, woonboten, houseboat, houseboats, carr, theatercarr, amstel, amstelsluizen	54	en
91	97	This cyclist is driving is the sunny part of the photo.	59	en
92	98	It has title of A lot of shadow	59	en
93	99	It has tags of shadow, sun, cyclist, streetphotography	59	en
94	100	It has title of Cycling underneath Rembrandt	61	en
95	101	The remains of a blooped corona party somewhere in a park.	65	en
96	102	It has title of Blooped Corona Party	65	en
97	103	It has tags of park, party, picnic, forest, outdoor, corona, leftovers, sarphatipark, amsterdam	65	en
98	104	It has tags of nederland, netherlands, holland, amsterdam, connexxion, bus, amstelstation	68	en
99	105	It has tags of nederland, netherlands, holland, amsterdam, gvb, tram, tramway, siemens, combino, amstelstation	69	en
100	106	It has tags of locomotive, amsterdam, volkerail, xt, whiteframe	74	en
101	107	It has title of White flowers bike	82	en
102	108	Every day mostly a long row	84	en
103	109	Not today it is raining.	84	en
104	110	It has tags of madametussaud, street, streephotography, raining, weeklygroup	84	en
105	111	It has tags of nikonfm, nikkor, film, analogue, kodakultramax, amsterdam, concrete, brutalism, architecture, grey, blindwall, hetschip, cygnusgymnasium, commerdegeus, beningwersen	85	en
106	112	It has tags of autochinon, f, vintage, amsterdam, northholland, netherlands	86	en
107	113	crop from RAW edit	87	en
108	114	It has tags of pentacon, vintage, amsterdam, northholland, netherlands	87	en
109	115	crop from RAW edit	88	en
110	116	Door to nowhere	92	en
111	117	broken down elevator big enough to hold a small car	92	en
112	118	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	92	en
113	119	These pictures were taken during the last weeks of the squatting in 1998 as a documentation of the building, that was taken down not long after	92	en
114	120	top floor, the only one with big windows	92	en
115	121	here the cooling pumps were housed	92	en
116	122	we used it as a venue and gallery for expositions, parties and concerts	92	en
117	123	The windows gave a dominating view of the surroundings as this was by far the highest building in the neighborhood	92	en
118	124	Camera Hasselblad SWC with Fuji  Provia 100f	92	en
119	125	It has title of Rails, treinstation, Noord	93	en
120	126	Built 1610-1613 as city storage houses, for the storage of grain, butter and peat that was distributed to the poor	95	en
121	127	In Napoleonic times it became the city's arsenal, hence its name	95	en
122	128	It now houses the offices of the Jewish Historical Museum, on the other side of the street.	95	en
123	129	It has title of A Walk Through Old Amsterdam	95	en
124	130	It has tags of amsterdam, thenetherlands, history, architecture, jewish, arsenaal, arsenal, nieuweamstelstraat, warehouses, seventeenthcentury, facade, building	95	en
125	131	Holocaust monument, Wibautstraat, remembering the 102,000 Jewish victims from the Netherlands	96	en
126	132	It has title of A Walk Through Old Amsterdam	96	en
127	133	It has tags of amsterdam, thenetherlands, history, architecture, jewish, holocaustmonument, holocaustnamesmonument, mirrors, reflection, wibautstraat	96	en
128	134	Built 1721-1723, commissioned by Joan Corver and Sarah Maria Trip, daughter of one of Amsterdam's mayors	97	en
129	135	It used to offer housing to elder or sick protestant couples and singles.	97	en
130	136	It has title of A Walk Through Old Amsterdam	97	en
131	137	It has tags of amsterdam, thenetherlands, history, architecture, jewish, corvershof, building, facade, eighteenthcentury	97	en
132	138	skate park third floor on the right, rollerdisco on the left	117	en
133	139	the fencing blocks the way to vrieshuis Australie next door	117	en
134	140	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	117	en
135	141	These pictures were taken during the last weeks of the squatting in 1998 as a documentation of the building, that was taken down not long after	117	en
136	142	top floor, the only one with big windows	117	en
137	143	here the cooling pumps were housed	117	en
138	144	we used it as a venue and gallery for expositions, parties and concerts	117	en
139	145	The windows gave a dominating view of the surroundings as this was by far the highest building in the neighborhood	117	en
140	146	Camera Hasselblad SWC with Fuji  Provia 100f	117	en
141	147	This Protestant church is one of the most famous landmarks in the center of Amsterdam	118	en
142	148	It was built between 1620 and 1638 and its tower is 85m (279 ft) high	118	en
143	149	On it's top, their is a crown representing the crown of Emperor Maximilian 1st of Austria	118	en
144	150	Its carillon, sounded on bells dating from 1648, is famous in the city	118	en
145	151	It has tags of sony, ilce, alpha, avril, april, spring, printemps, paysbas, netherlands, hollande, holland, ville, town, canal, p, barge, boat, bateau, eau, water, church, westerkerk	118	en
146	152	It has tags of amstel, scenic, riverside, sky, clouds, water, river, bridge	119	en
147	153	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	128	en
148	154	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	130	en
149	155	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	131	en
150	156	It has tags of nederland, netherlands, paysbas, amsterdam	135	en
151	157	It has tags of nederland, netherlands, paysbas, amsterdam	141	en
152	158	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	148	en
153	159	It has tags of netherlands, netherlandsphoto, netherlandsphotography, netherlandspictures, holland, hollandphoto, hollandphotography, noordholland, northholland, amsterdam, amsterdamcenter, amsterdamphoto, amsterdamphotography, oldamsterdam, oldcity, oldquarter, authentic, typical, typicalhouses, typicalquarter, dutch, dutchcity, dutchyhouses, dutchculture, street, streetphoto, streetphotography, streetstyle, city, cityphoto, cityphotography, citystyle, colors, colorsphoto, colorsphotography, colorstints, brown, couloured, coulouredphoto, coulouredphotography, travel, traveller, travelling, travelphoto, travelphotography, tripphoto, tripphotography, voyage, voyagephoto, voyagephotography, occident, occidentphoto, occidentphotography, europe, europephoto, europephotography, canon, canonphoto, canonphotography	150	en
154	160	staircase to fifth behind the stage	155	en
155	161	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	155	en
156	162	These pictures were taken during the last weeks of the squatting in 1998 as a documentation of the building, that was taken down not long after	155	en
157	163	top floor, the only one with big windows	155	en
158	164	here the cooling pumps were housed	155	en
159	165	we used it as a venue and gallery for expositions, parties and concerts	155	en
160	166	The windows gave a dominating view of the surroundings as this was by far the highest building in the neighborhood	155	en
161	167	Camera Hasselblad SWC with Fuji  Provia 100f	155	en
162	168	It has title of vrieshuis Amerika: fourth floor.	155	en
163	169	It has tags of amsterdam, canal, citycenter, couple, tourists, posing, streetshot, herengracht	156	en
164	170	It has title of Architecture	157	en
165	171	It has tags of architecture, arches, amsterdam, grotekerk	157	en
166	172	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	164	en
167	173	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	168	en
168	174	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	170	en
169	175	It has tags of nederland, netherlands, paysbas, amsterdam	174	en
170	176	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	176	en
171	177	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	178	en
172	178	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	179	en
173	179	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	182	en
174	180	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	183	en
175	181	It has tags of netherlands, paysbas, nederland, amsterdam	186	en
176	182	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	189	en
177	183	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	190	en
178	184	It has tags of nederland, netherlands, paysbas, amsterdam	191	en
179	185	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	196	en
180	186	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	198	en
181	187	It has tags of netherlands, paysbas, nederland, amsterdam	207	en
182	188	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	227	en
183	189	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	228	en
184	190	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	229	en
185	191	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	230	en
186	192	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	232	en
187	193	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	236	en
188	194	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	237	en
189	195	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	245	en
190	196	It has tags of netherlands, paysbas, nederland, amsterdam	257	en
191	197	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	263	en
192	198	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	264	en
193	199	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	265	en
194	200	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	268	en
195	201	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	270	en
196	202	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	271	en
197	203	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	272	en
198	204	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	273	en
199	205	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	275	en
200	206	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	276	en
201	207	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	277	en
202	208	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	278	en
203	209	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	279	en
204	210	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	280	en
205	211	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	283	en
206	212	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	285	en
207	213	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	286	en
208	214	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	288	en
209	215	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	289	en
210	216	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	290	en
211	217	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	292	en
212	218	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	294	en
213	219	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	296	en
214	220	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	297	en
215	221	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	298	en
216	222	It has tags of netherlands, nederland, paysbas, amsterdam, light, festival	300	en
217	223	It has tags of nederland, netherlands, paysbas, amsterdam, light, festival	306	en
218	224	It has tags of nederland, netherlands, paysbas, amsterdam	308	en
219	225	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	313	en
220	226	These pictures were taken during the last weeks of the squatting in 1998 as a documentation of the building, that was taken down not long after	313	en
221	227	Black tarred walls and pillars	313	en
222	228	Camera Hasselblad SWC with Fuji  Provia 100f	313	en
223	229	The Sensi Seed Bank is the location of the first true cannabis gene-bank in the Netherlands	316	en
224	230	It’s located in the heart of Amsterdam, surrounded by the distinctive, historic buildings of the Oude Stad (Old Town)	316	en
225	231	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	318	en
226	232	These pictures were taken during the last weeks of the squatting as a documentation of the building, that was taken down not long after	318	en
227	233	There was a huge fire in the building in the early 1980's and since then it was tripped of all its cooling apparatus and isolation material (cork)	318	en
228	234	The fourth floor was were all the cooling pipes were routed, with four big shafts going to the floors below	318	en
229	235	those shaftw were alsi lined with cork, making it very difficult to kill the fire once it was burning as they work like chimneys	318	en
230	236	Camera Hasselblad SWC with Fuji  Provia 100f	318	en
231	237	burned out 4th floor	318	en
232	238	built shortly after the turn of the century on a dock island, formerly used for the larger part as railway yard	319	en
233	239	In the distance the A'DAM tower on the other bank of IJ river, built as headquarters for Shell	319	en
234	241	It has title of Bin02-Box02A-Scan005	328	en
235	242	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	330	en
236	243	These pictures were taken during the last weeks of the squatting as a documentation of the building, that was taken down not long after	330	en
237	244	Camera Yashica Mat with FP4 Plus	330	en
238	245	It has title of Vrieshuis Amerika: view straight up from the balcony on the second floor	330	en
239	246	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	331	en
240	247	These pictures were taken during the last weeks of the squatting as a documentation of the building, that was taken down not long after	331	en
241	248	Camera Yashica Mat with FP4 Plus	331	en
242	249	It has title of Vrieshuis Amerika: relays controllong the elevator	331	en
243	250	A deep river-view over the Amstel water, seen from the old locks in the city-center of Amsterdam with the Hoge Sluis bridge in the distance	335	en
244	251	free urban photo by Fons Heijnsbroek, 2022	335	en
245	252	It has title of A river-view over the Amstel water, seen from the old locks in the city Amsterdam	335	en
246	253	free urban photo by Fons Heijnsbroek, 2022.	335	en
247	254	It has tags of amstel, amstelriver, amsterdam, amsterdamamstel, photoamstel, cityriver, rivercity, dutchweather, greysky, ciryandsky, skycity, amsterdamcity, heijnsbroek, cityview, cityscape	335	en
248	256	It has tags of amsterdam, commonplace, liminae, monochrome, netherlands, blackandwhite, commonplaces, northholland	340	en
249	257	It has title of Big Brother is watching.	341	en
250	258	It has tags of amsterdam, commonplace, liminae, monochrome, netherlands, blackandwhite, commonplaces, northholland	341	en
251	259	It has tags of amsterdam, night, photography, canon, car, tram, lights, fog	344	en
252	260	It has tags of amsterdam, capital, netherlands, holland, europe, found, slide, canal	359	en
253	261	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	362	en
254	262	These pictures were taken during the last weeks of the squatting as a documentation of the building, that was taken down not long after	362	en
255	263	Camera Yashica Mat with FP4 Plus	362	en
256	265	It has title of Vrieshuis Amerika: one of the locals	362	en
257	266	Pictures of the now long gone Vrieshuis Amerika, a huge cold storage building on the Amsterdam waterfront, squatted in the nineties	363	en
258	267	These pictures were taken during the last weeks of the squatting as a documentation of the building, that was taken down not long after	363	en
259	268	Camera Yashica Mat with FP4 Plus	363	en
260	269	It has title of Vrieshuis Amerika: view from the balcony on the thirdt floor, looking east.	363	en
261	270	Pjotrp – All Rights Reserved	364	en
262	271	Design: wUrck architects (2016)	367	en
263	272	It has title of Hexa	367	en
264	273	It has tags of northholland, netherlands, amsterdamzuid, nederland, ro, bike, parking, architecture, modern, reflection	367	en
265	274	Look closely and you will see it :)	368	en
266	275	It has title of Into the belly of the beast	368	en
267	276	It has tags of amsterdam, capital, netherlands, holland, europe, found, slide, canal, sculpture, statue, building, architecture	370	en
268	277	It has title of The way you get immersed	376	en
269	278	It has tags of holocaust, memorial, names, amsterdam, second, world, war, jews, netherlands, history, antisemitisme, canonr	376	en
270	279	Modern kids are getting traumatized by bicycle coaches, apparently	396	en
271	280	This has to stop.	396	en
272	281	It has title of Fietscoach Makes Me Cry	396	en
273	282	It has tags of fietscoach, children, closeup, crying, teardrops, child, classic, amsterdam, sad, eyes, kid, humor, satire, sticker, street	396	en
274	283	It has tags of amsterdam, winter, hazy, citycenter, water, canal, reflection, koepelkerk, clouds	397	en
275	285	I really appreciate	399	en
276	286	It has title of Top down Reflection	401	en
277	287	It has tags of holocaust, memorial, names, amsterdam, second, world, war, jews, netherlands, history, antisemitisme, canonr	401	en
278	288	It has title of Pink mannequin in shop window	407	en
279	289	A painted tree in the park, at the square Frederiksplein in Amsterdam city	408	en
280	290	free urban photo by Fons Heijnsbroek, 2022	408	en
281	291	It has title of A painted tree in the park, Amsterdam city	408	en
282	292	House facades and park trees in the sunlight of winter	409	en
283	293	Amsterdam city at the border of square Frederiksplein	409	en
284	294	It has title of House facades and park trees in sunlight of winter	409	en
285	295	free photo Amsterdam by Fons Heijnsbroek, 2022.UNSPL.	409	en
286	296	Focussing on one point	412	en
287	297	It has tags of postjesweg, amsterdam, northholland, netherlands	424	en
288	298	An old brick arch bridge in Amsterdam city over the canal water of the Reguliergracht	426	en
289	299	It has title of Old brick canal bridge in Amsterdam city	426	en
290	300	National Maritim Museum	443	en
291	301	It has tags of scheepsvaartmuseum, dutcheastindiacompany, canal, cargoship, nationalmaritimemuseum, evening, amsterdam, light, noordholland, nederland	443	en
292	302	Amsterdam canal with winter trees	450	en
293	303	the old canal at the left is called Prinsengracht	450	en
294	304	At the right you see the city-square Amstelveld with the historical wooden church Amstelkerk	450	en
295	305	It has title of Amsterdam old canal Prinsengracht with trees in winter - at the right the square Amstelveeld with the historical wooden church Amstelkerk	450	en
296	306	It has tags of amstelkerk, oldchurch, canal, canalamsterdam, oldcanal, amsterdamcity, amsterdamdowntown, amsterdamwinter, urbantrees, citytrees, freephotoamsterdam	450	en
297	307	It has tags of blackandwhite, building, zwartwit, amsterdam, whiteframe	451	en
298	308	It has tags of ice, building, station, amsterdam, whiteframe	452	en
299	309	Amsterdam CS: arrived with INT281 07:47 from Paris-Nord 26/05/1992	455	en
300	310	It has tags of electric, sncbnmbs, class, internationaltrain, int, amsterdamcs, amsterdam, holland	455	en
301	313	2087, Amsterdam Siemens 13G tram at Drentepark terminus, 29 July 2019,	461	en
302	314	(built 2009, see tags for further known data)	473	en
303	317	2105, Amsterdam Siemens 13G tram at Drentepark tram terminus, 29 July 2019,	487	en
304	319	It has tags of amsterdam, pont, paysbas, netherlands, bridge, water	492	en
305	320	It has tags of dr, citro, id, familiale, citro, id, ds, citro, strijkijzer, d, tibur, snoek, stationcar, stationwagen, station, wagon, kombi, estate, break, vanbaerlestraat, museumplein, amsterdam, nederland, holland, netherlands, paysbas, vintage, old, classic, french, car, auto, automobile, voiture, ancienne, fran, france, frankrijk, vehicle	498	en
306	321	One of the most popular spots in Amsterdam for photographers....Well I can't help it....	500	en
307	322	It has title of Two Flamingos and an Unicorn.	507	en
308	323	The last (for the time being) last ride under its own power by a Sprinter (Plan Y) was made on Wednesday 22 December 2021 by the last built Sprinter, the 2995	514	en
309	324	As train 81400, the train set ran from Amsterdam Zaanstraat via Amersfoort to the railway museum	514	en
310	325	It has title of Kuifje in lock down	516	en
311	326	There's a lockdown, fortunately the weather is not very inviting.	534	en
312	327	It has title of City Center	534	en
313	328	It has tags of amsterdam, rokin, citycenter, bronze, sculpture, lockdown, cranes, street	534	en
314	329	It has tags of avond, canal, christmas, xmas, evening, amsterdam, light, noordholland, nederland	538	en
315	330	The Amsterdam Light Festival from another angle...A view on the .Whole Hole., Let's hope that the ALF will survive the lock-down....	542	en
316	331	It has title of City in the days of the pride	551	en
317	332	It has tags of feast, netherlands, city, street, fujifilmxt	551	en
318	333	It's that time of the year in Amsterdam when Fantasy rules....	558	en
319	334	It has tags of lightfestival, canal, composition, photography, amsterdam, focus, evening, anniversary, amsterdamlightfestival, light, noordholland, nederland	566	en
320	335	It has tags of lightfestival, canal, composition, photography, amsterdam, focus, evening, anniversary, amsterdamlightfestival, light, noordholland, nederland	567	en
321	336	1.26 AMSTERDAM is often described as ‘the net’, but the title discloses its meaning lies much deeper than that	568	en
322	337	The 2010 earthquake in Chile caused vibrations that shortened the length of the day by 1.26 microseconds	568	en
