	index	sentence	origin	lang	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
14	18	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	363	en	Criteria ii	Criteria iv	Criteria i	0.5144327878952026	0.9146110266447068	Criteria i	Criteria iii	Criteria ii	0.7435273	0.8980744	False	0.5	0.37534691543533993
15	19	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	363	en	Criteria i	Criteria iv	Criteria ii	0.3724851012229919	0.8599859774112701	Criteria i	Criteria iv	Criteria ii	0.45122716	0.80572397	True	1.0	0.9507922216179091
16	21	It has title of Master of the Nets Garden 网师园	363	en	Criteria i	Criteria vi	Criteria iv	0.4281662404537201	0.7690521031618118	Criteria i	Criteria iii	Criteria x	0.25171587	0.62788594	True	0.2	0.7940706293589733
17	22	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	364	en	Criteria i	Criteria ii	Criteria iv	0.4642496109008789	0.8189558610320091	Criteria i	Criteria iv	Criteria ii	0.8334854	0.92818916	True	1.0	0.8823021581748266
18	23	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	364	en	Criteria iii	Criteria iv	Criteria vi	0.1907768547534942	0.4952413290739059	Criteria iv	Criteria i	Criteria ii	0.36913243	0.85135925	False	0.2	0.6971179647141623
19	24	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	364	en	Criteria ii	Criteria iv	Criteria i	0.5144327878952026	0.9146110266447068	Criteria i	Criteria iii	Criteria ii	0.7435273	0.8980744	False	0.5	0.37534691543533993
20	25	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	364	en	Criteria i	Criteria iv	Criteria ii	0.3724851012229919	0.8599859774112701	Criteria i	Criteria iv	Criteria ii	0.45122716	0.80572397	True	1.0	0.9507922216179091
21	27	It has title of Master of the Nets Garden 网师园	364	en	Criteria i	Criteria vi	Criteria iv	0.4281662404537201	0.7690521031618118	Criteria i	Criteria iii	Criteria x	0.25171587	0.62788594	True	0.2	0.7940706293589733
22	28	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	370	en	Criteria i	Criteria vi	Criteria iv	0.3793106377124786	0.7589767724275589	Criteria iv	Criteria i	Criteria vi	0.336931	0.7938025	False	1.0	0.8976769862970054
23	29	It is located at 3 Canglangting Street in Suzhou, Jiangsu province, China	370	en	Criteria iii	Criteria vi	Criteria ii	0.3305861055850982	0.6923008561134338	Criteria i	Criteria iv	Criteria vi	0.3624234	0.81795615	False	0.2	0.5901939913127738
24	31	With the Lunar New Year of the Ox incoming in less than a month, it is a good time to slow down our thoughts and give ourselves a brief moment for reflection.	395	en	Criteria vii	Criteria viii	Criteria iii	0.321270614862442	0.7130289748311043	Criteria iii	Criteria iv	Criteria vi	0.22632936	0.5808635	False	0.2	0.6404129795995849
25	32	It has title of A moment of reflection	395	en	Criteria vi	Criteria iii	Criteria iv	0.3404729962348938	0.6485491842031479	Criteria vi	Criteria i	Criteria iv	0.248913	0.64159846	True	0.5	0.9105065731638594
26	33	It has tags of asian, people, b, street, asia, reflection, sepia, water, w, city, administrators, december, bw, mono, garden, humble, chinese, peoples, monochrome, suzhou, photography, republic, black, china, prc, white, jiangsu, peoplesrepublicofchina	395	en	Criteria iii	Criteria vi	Criteria ii	0.5445888638496399	0.8220900148153305	Criteria vi	Criteria iii	Criteria iv	0.2711901	0.6823747	False	0.5	0.7945348940699476
27	34	Suzhou, with its many canals and bridges, is often nicknamed the .Venice of the East	397	en	Criteria iii	Criteria iv	Criteria vi	0.3300606608390808	0.7023055702447891	Criteria iv	Criteria vi	Criteria ii	0.4039094	0.84420305	False	0.5	0.7081278200664665
28	35	(although many other cities often also claim this title as well)	397	en	Criteria iv	Criteria iii	Criteria ii	0.3416119813919067	0.7890450954437256	Criteria iv	Criteria ii	Criteria vi	0.2831469	0.7376747	True	0.5	0.8983468831698886
29	36	Being very close to Shanghai has allowed it to become of the fastest growing cities in Mainland China	397	en	Criteria vii	Criteria x	Criteria viii	0.2526193261146545	0.5959974229335785	Criteria iv	Criteria vi	Criteria v	0.29736304	0.70762044	False	0.0	0.3960912102751378
30	37	It is also a popular tourist destination with its many UNESCO sites and attractions, such as this one near Tiger Hill.	397	en	Criteria vii	Criteria x	Criteria viii	0.900341808795929	0.9731343798339368	Criteria vii	Criteria x	Criteria viii	0.7272073	0.84661627	True	1.0	0.9954470122498852
31	38	It has title of Reflections of Suzhou	397	en	Criteria vi	Criteria iii	Criteria i	0.5076901912689209	0.8025656044483185	Criteria vi	Criteria iii	Criteria i	0.48187128	0.7742773	True	1.0	0.9959544192850174
32	39	It has tags of jiangsu, december, building, asia, east, water, city, venice, photography, hill, province, landscape, canal, chinese, peoples, suzhou, river, tiger, house, shanghai, asian, republic, prc, china, peoplesrepublicofchina	397	en	Criteria iii	Criteria iv	Criteria ii	0.4360008239746094	0.7695625424385071	Criteria ii	Criteria vi	Criteria iv	0.34753507	0.8014003	False	0.5	0.6179096758692144
33	40	It has tags of wpdpeople	399	en	Criteria iii	Criteria vii	Criteria iv	0.3335069119930267	0.5847160816192627	Criteria vi	Criteria iii	Criteria x	0.28852314	0.5974474	False	0.2	0.727504042114165
34	41	The Humble Administrator's Garden in Suzhou is one of four Chinese gardens in Suzhou that have attained UNESCO World Heritage Site status, and the most famous and visited among them	502	en	Criteria vi	Criteria iii	Criteria i	0.5579586625099182	0.8251823335886002	Criteria i	Criteria vi	Criteria iv	0.3603392	0.7488748	False	0.5	0.7267921352084574
35	42	Its beautiful gardens and huge size makes it a good place to walk an afternoon stroll.	502	en	Criteria vii	Criteria iii	Criteria viii	0.7724574208259583	0.8643644452095032	Criteria vii	Criteria x	Criteria ix	0.8090139	0.8915655	True	0.2	0.9967117169591676
36	43	It has title of Reflections at The Humble Administrator's Garden	502	en	Criteria vi	Criteria i	Criteria ii	0.3170163035392761	0.7340646833181381	Criteria iii	Criteria i	Criteria vi	0.31956694	0.76247144	False	0.5	0.8070615677422724
37	44	It has tags of december, asia, reflection, city, administrators, garden, humble, chinese, peoples, suzhou, water, photography, asian, republic, prc, china, jiangsu, peoplesrepublicofchina	502	en	Criteria iii	Criteria vi	Criteria ii	0.5162771940231323	0.8560031950473785	Criteria vi	Criteria iii	Criteria ii	0.5903458	0.8340293	False	1.0	0.5874358821426114
38	45	The best time to take a stroll would be in autumn time, when the weather is cool and not humid, and the leaves are starting to turn red or orange and shredding before winter sets in.	503	en	Criteria vii	Criteria viii	Criteria ix	0.5780159831047058	0.8799584656953812	Criteria vii	Criteria x	Criteria ix	0.7663102	0.867509	True	0.5	0.9497240305637508
39	46	It has title of The colours of Autumn	503	en	Criteria vii	Criteria x	Criteria ix	0.5212569832801819	0.8178305551409721	Criteria vi	Criteria i	Criteria iii	0.37731802	0.7606788	False	0.0	0.17051434203748062
40	47	It has tags of jiangsu, december, landscape, asia, tiger, water, autumn, city, venice, building, hill, province, house, east, canal, chinese, peoples, shanghai, suzhou, river, photography, asian, republic, prc, china, peoplesrepublicofchina	503	en	Criteria iii	Criteria iv	Criteria v	0.4591813683509826	0.7195440083742142	Criteria vi	Criteria ii	Criteria iv	0.32451597	0.7768117	False	0.2	0.5687518149567495
41	48	A moon gate is a traditional architectural element in Chinese gardens	504	en	Criteria iv	Criteria i	Criteria ii	0.3482547104358673	0.7919562309980392	Criteria iv	Criteria v	Criteria vi	0.4226944	0.73700196	True	0.2	0.7680282454631466
42	49	These circular openings represent symbolically the heaven and perfection in Chinese culture	504	en	Criteria vi	Criteria iii	Criteria iv	0.5053523182868958	0.8672724068164825	Criteria vi	Criteria iii	Criteria iv	0.6667029	0.8491895	True	1.0	0.9610331034408852
43	50	This moon gate leads to a courtyard in the Lion Grove Garden, one of the classical gardens in Suzhou.	504	en	Criteria iv	Criteria iii	Criteria i	0.3090997338294983	0.6963522434234619	Criteria i	Criteria iv	Criteria vi	0.3151734	0.75645775	False	0.5	0.9292228786324183
44	51	It has title of China, Suzhou - Through a moon gate - July 2010	504	en	Criteria vi	Criteria iii	Criteria iv	0.5384392738342285	0.8793679028749466	Criteria vi	Criteria iii	Criteria iv	0.2989938	0.68437123	True	1.0	0.9125030987409682
45	52	It has tags of china, suzhou, moon, gate, garden, boy, fan, round, traditional, circular, opening, wall, passageway, architecture, architectural, young, door, shui, feng, lion, grove, forest	504	en	Criteria iii	Criteria vi	Criteria iv	0.5826520919799805	0.8655702099204063	Criteria iii	Criteria vi	Criteria ii	0.46133345	0.74352515	True	0.5	0.9790219310893963
46	53	It has title of Suzhou, Soochow University	523	en	Criteria vi	Criteria iii	Criteria iv	0.4716945886611938	0.8472085148096085	Criteria vi	Criteria iii	Criteria i	0.29289714	0.66216844	True	0.5	0.9252828283402083
47	54	It has title of In Suzhou	529	en	Criteria vi	Criteria iii	Criteria vii	0.288086324930191	0.5989423990249634	Criteria iii	Criteria vi	Criteria iv	0.30235323	0.6834257	False	0.5	0.9286174298805752
48	55	It has tags of suzhou, china, street, jiangsu, peoplesrepublicofchina	550	en	Criteria iii	Criteria vi	Criteria ii	0.51619553565979	0.8422144278883934	Criteria vi	Criteria iv	Criteria iii	0.40923753	0.76395327	False	0.5	0.722054665694097
49	56	Architect - I.M	613	en	Criteria i	Criteria ii	Criteria iv	0.7683016657829285	0.9405399635434152	Criteria i	Criteria ii	Criteria iv	0.51236475	0.9126676	True	1.0	0.9396313119943346
50	57	It has title of Suzhou Museum main hall ceiling	613	en	Criteria vi	Criteria i	Criteria iii	0.2967908084392547	0.7920170575380325	Criteria i	Criteria iii	Criteria vi	0.49649444	0.7950083	False	1.0	0.8490545097625936
51	58	It has tags of museum, geometry, symmetry, impei, china, suzhou, modernist, ceiling	613	en	Criteria iii	Criteria iv	Criteria ii	0.3100854754447937	0.7375435829162598	Criteria i	Criteria ii	Criteria iv	0.56303865	0.9348696	False	0.5	0.5977463505155008
52	59	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	614	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
53	60	It has tags of mirror, mind, art, shouzuo, china, streetphoto, bw, iphonex	621	en	Criteria vi	Criteria iii	Criteria i	0.4479855895042419	0.858206570148468	Criteria i	Criteria vi	Criteria ii	0.3703937	0.65643865	False	0.5	0.659193892069469
54	61	Suzhou, with its many canals and bridges, is often nicknamed the .Venice of the East	632	en	Criteria iii	Criteria iv	Criteria vi	0.3300606608390808	0.7023055702447891	Criteria iv	Criteria vi	Criteria ii	0.4039094	0.84420305	False	0.5	0.7081278200664665
55	62	(although many other cities often also claim this title as well)	632	en	Criteria iv	Criteria iii	Criteria ii	0.3416119813919067	0.7890450954437256	Criteria iv	Criteria ii	Criteria vi	0.2831469	0.7376747	True	0.5	0.8983468831698886
56	63	Being very close to Shanghai has allowed it to become of the fastest growing cities in Mainland China	632	en	Criteria vii	Criteria x	Criteria viii	0.2526193261146545	0.5959974229335785	Criteria iv	Criteria vi	Criteria v	0.29736304	0.70762044	False	0.0	0.3960912102751378
57	64	It is also a popular tourist destination with its many UNESCO sites and attractions, such as this one near Tiger Hill.	632	en	Criteria vii	Criteria x	Criteria viii	0.900341808795929	0.9731343798339368	Criteria vii	Criteria x	Criteria viii	0.7272073	0.84661627	True	1.0	0.9954470122498852
58	65	It has title of The many canals of Suzhou	632	en	Criteria iii	Criteria vi	Criteria iv	0.2874807715415954	0.6690102517604828	Criteria i	Criteria iv	Criteria vi	0.398189	0.68193805	False	0.5	0.6819350161568015
59	66	It has tags of jiangsu, december, building, asia, east, water, city, venice, photography, hill, province, landscape, canal, chinese, peoples, suzhou, river, tiger, house, shanghai, asian, republic, prc, china, peoplesrepublicofchina	632	en	Criteria iii	Criteria iv	Criteria ii	0.4360008239746094	0.7695625424385071	Criteria ii	Criteria vi	Criteria iv	0.34753507	0.8014003	False	0.5	0.6179096758692144
60	67	The modern Chinese woman is one that is confident with herself and able to blend into the modern era with ease, yet able to still dress in style like the well known Shanghai beauties of the 1930s.	641	en	Criteria iv	Criteria vi	Criteria i	0.2478949129581451	0.6283992826938629	Criteria iv	Criteria vi	Criteria ii	0.52550375	0.79242766	True	0.5	0.8291629561938716
61	68	It has title of The modern Chinese woman	641	en	Criteria vi	Criteria iii	Criteria iv	0.7806144952774048	0.9303955286741256	Criteria vi	Criteria i	Criteria iii	0.40396252	0.7013136	True	0.5	0.9016926897643868
62	69	It has tags of jiangsu, december, asia, east, street, people, city, beauty, lady, modern, shanghai, chinese, peoples, confident, suzhou, woman, photography, asian, republic, prc, china, peoplesrepublicofchina, beautiful, mainland	641	en	Criteria iii	Criteria vi	Criteria ii	0.471067875623703	0.8164209574460983	Criteria vi	Criteria iv	Criteria iii	0.5583826	0.7895108	False	0.5	0.6085672426715506
63	70	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	646	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria i	Criteria vi	Criteria ii	0.52476686	0.78463465	False	0.5	0.2496101919833223
64	71	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	647	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria i	Criteria vi	Criteria ii	0.52476686	0.78463465	False	0.5	0.2496101919833223
65	72	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	648	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria i	Criteria vi	Criteria ii	0.52476686	0.78463465	False	0.5	0.2496101919833223
66	73	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	649	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria i	Criteria vi	Criteria ii	0.52476686	0.78463465	False	0.5	0.2496101919833223
67	74	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	650	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria i	Criteria vi	Criteria ii	0.52476686	0.78463465	False	0.5	0.2496101919833223
68	75	It has tags of china, classicalgardens, garden, jiangsu, masterofthenets, suzhou, unescoworldheritage, w, peoplesrepublicofchina	651	en	Criteria iii	Criteria vi	Criteria ii	0.4705688059329986	0.8597726076841354	Criteria i	Criteria vi	Criteria ii	0.5080879	0.7477427	False	0.5	0.271143122576572
69	76	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	653	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
70	77	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	654	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria i	Criteria vi	Criteria ii	0.52476686	0.78463465	False	0.5	0.2496101919833223
71	78	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	655	en	Criteria iii	Criteria vi	Criteria ii	0.5386086106300354	0.802742213010788	Criteria i	Criteria ii	Criteria iv	0.7187375	0.8746501	False	0.2	0.12159687051844541
72	79	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	656	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria i	Criteria vi	Criteria ii	0.52476686	0.78463465	False	0.5	0.2496101919833223
73	80	It has tags of china, classicalgardens, garden, jiangsu, masterofthenets, suzhou, unescoworldheritage, w, peoplesrepublicofchina	657	en	Criteria iii	Criteria vi	Criteria ii	0.4705688059329986	0.8597726076841354	Criteria i	Criteria vi	Criteria ii	0.5080879	0.7477427	False	0.5	0.271143122576572
74	81	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	658	en	Criteria iii	Criteria vi	Criteria ii	0.4583297669887543	0.8369140923023224	Criteria i	Criteria iv	Criteria vi	0.2931958	0.7248025	False	0.2	0.49684255135526423
75	82	It has tags of china, classicalgardens, garden, jiangsu, suzhou, unescoworldheritage, peoplesrepublicofchina	659	en	Criteria iii	Criteria vi	Criteria ii	0.4911051392555237	0.878016859292984	Criteria i	Criteria vi	Criteria iv	0.27608117	0.6672375	False	0.2	0.5188387927950554
76	83	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	660	en	Criteria iii	Criteria vi	Criteria ii	0.4583297669887543	0.8369140923023224	Criteria i	Criteria iv	Criteria vi	0.2931958	0.7248025	False	0.2	0.49684255135526423
77	84	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	677	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
78	85	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	678	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
79	86	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	679	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
80	87	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	680	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
81	88	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	681	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
82	89	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	682	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
83	90	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	683	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
84	91	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	684	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
85	92	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	685	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
86	93	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	686	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
87	94	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	687	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
88	95	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	688	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
89	96	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	689	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
90	97	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	692	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
91	98	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	695	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
92	99	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	696	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
93	100	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	698	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
94	101	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	700	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
95	102	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	701	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
96	103	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	703	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
97	104	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	705	en	Criteria iii	Criteria ii	Criteria vi	0.4677950739860534	0.8815493136644363	Criteria x	Criteria iii	Criteria ii	0.31242266	0.6269998	False	0.5	0.6105524826077935
98	105	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	711	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
99	106	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	712	en	Criteria iii	Criteria vi	Criteria ii	0.50572669506073	0.8781182169914246	Criteria vi	Criteria i	Criteria ii	0.24133356	0.6519393	False	0.5	0.581959971165922
