UserId ;Lat;Long;PhotoId;ID ;Name;Nationality;Num;PhotoID;Title;Description;User tags;Time taken;Time posted
77812125  N00;34,433539;35,844403;90659387;77812125  N00;Lia;L;L3;90659387;liban aout 2004;special entry - in the old fortress:  Tripoli .Lebanon aout 2004;lebanon,tripoli,trablous,liban,entry,arabic,architecture,fortess;21/08/2004 15:32;24/01/2006 15:09
77812125  N00;34,455782;35,810561;104371745;77812125  N00;Lia;L;L3;104371745;guardians of a bridge to nowhere,; bridge in the sea, Tripoli, Lebanon;lebanon;21/08/2004 16:32;25/02/2006 23:46
77812125  N00;34,433906;35,844696;105260920;77812125  N00;Lia;L;L3;105260920;Tripoli, Lebanon;view of the town;lebanon;21/08/2004 14:35;27/02/2006 14:21
77812125  N00;34,433067;35,8447;105261380;77812125  N00;Lia;L;L3;105261380;Tripoli , Lebanon;The fortress anda part of the city;lebanon;21/08/2004 15:02;27/02/2006 14:22
77812125  N00;34,43286;35,844724;105261810;77812125  N00;Lia;L;L3;105261810;Tripoli , Lebanon;route  market and the nearly dry river seen from the fortress;lebanon;21/08/2004 15:05;27/02/2006 14:23
25798931  N00;34,435055;35,847079;139649369;25798931  N00;James Holme;T;T7;139649369;Tripoli, Lebanon.;Tripoli, Lebanon.;Lebanon,Tripoli;19/04/2006 11:23;03/05/2006 09:31
80806685  N00;34,434653;35,84234;158371189;25798931  N00;James Holme;T;T7;201754890;Children at play, Tripoli Lebanon.;Children at play, Tripoli Lebanon.;Lebanon,Tripoli,People;17/04/2006 08:53;30/07/2006 13:45
25798931  N00;34,434376;35,843784;201754890;25798931  N00;;T;T8;139649369;Tripolis, Lebanon;Rating3;00withinCollection,Activity,Holiday,Lebanon,Shorttrip,Sightseeing,Trip to Trablus,Tripolis,Northern Coast,Old Town,lightguard;24/04/2006 15:47;02/06/2006 01:41
90223784  N00;34,436829;35,838084;205102592;90223784  N00;Bryan asmar;L;L3;205102592;night scene 4 the horloge tripoli lebanon;;;30/08/2005 08:56;02/08/2006 19:53
90223784  N00;34,434889;35,843671;205102594;90223784  N00;Bryan asmar;L;L3;205102594;sook market place in tripoli lebanon;;;30/08/2005 23:09;02/08/2006 19:53
90223784  N00;34,457806;35,814572;205119588;90223784  N00;Bryan asmar;L;L3;205119588;fisherman in tripoli lebanon;;;30/08/2005 05:20;02/08/2006 20:17
78156949  N00;34,448538;35,838088;212281312;78156949  N00;jmserh;L;L4;212281312;Tripoli, Lebanon;;Tripoli,Lebanon;24/04/2006 16:35;11/08/2006 05:00
78156949  N00;34,448538;35,838088;212281398;78156949  N00;jmserh;L;L4;212281398;Tripoli, Lebanon;;Tripoli,Lebanon;24/04/2006 16:35;11/08/2006 05:00
78156949  N00;34,445382;35,822896;212281505;78156949  N00;jmserh;L;L4;212281505;Tripoli, Lebanon;;Tripoli,Lebanon;24/04/2006 16:38;11/08/2006 05:00
78156949  N00;34,436486;35,842775;212281931;78156949  N00;jmserh;L;L4;212281931;Souk in Tripoli, Lebanon;;Tripoli,Lebanon;24/04/2006 17:12;11/08/2006 05:01
78156949  N00;34,435802;35,845062;212282063;78156949  N00;jmserh;L;L4;212282063;Tripoli, Lebanon;;Souk,Tripoli,Lebanon;24/04/2006 18:01;11/08/2006 05:01
78156949  N00;34,436788;35,8383;212282179;78156949  N00;jmserh;L;L4;212282179;Tripoli, Lebanon;;Tripoli,Lebanon;24/04/2006 18:14;11/08/2006 05:02
78156949  N00;34,429225;35,82873;212282538;78156949  N00;jmserh;L;L4;212282538;Tripoli, Lebanon;;Tripoli,Lebanon;24/04/2006 18:59;11/08/2006 05:02
15603459  N00;34,431118;35,845583;243374393;15603459  N00;Antonio Caselli;T;T9;243374393;Magic Carpet;"I was strolling through the markets in the old medina in Tripoli (Lebanon), when suddenly this kid appeared. I followed him for some time, taking several shots of him. Finally the boy noticed me and... smiled. 
";tripoli, lebanon, black, white, carpet, child,smile,lebanese,market,man,waiting,antonio caselli,caselli,antonio,boy,suq,suk;13/05/2006 15:12;14/09/2006 20:53
50878021  N00;34,457402;35,805479;257516112;50878021  N00;David Enders;T;T4;257516112;;Tripoli, Lebanon, from the water, Aug. 2006. ;;20/08/2006 17:27;01/10/2006 17:06
27657114  N00;34,43533;35,844042;257665641;27657114  N00;jeedy68;L;L5;257665641;Lebanon;;;13/04/2006 09:16;01/10/2006 19:23
29269574  N00;34,447948;35,817414;268452564;29269574  N00;Kat Petersen;T;T10;268452564;Street with mountains in the background;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:11;13/10/2006 11:11
29269574  N00;34,436534;35,839398;268452609;29269574  N00;Kat Petersen;T;T10;268452609;Old house;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:11;13/10/2006 11:11
29269574  N00;34,437684;35,847096;268452635;29269574  N00;Kat Petersen;T;T10;268452635;Market with mosque;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli,mosques,moscheen;13/10/2006 12:11;13/10/2006 11:11
29269574  N00;34,43558;35,846141;268452696;29269574  N00;Kat Petersen;T;T10;268452696;Top of minaret with moody sky;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:11;13/10/2006 11:11
29269574  N00;34,4373;35,846879;268452732;29269574  N00;Kat Petersen;T;T10;268452732;Residential area;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:11;13/10/2006 11:11
29269574  N00;34,435923;35,846222;268452797;29269574  N00;Kat Petersen;T;T10;268452797;Burj es-Sabaa (Lion Tower);"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:11;13/10/2006 11:11
29269574  N00;34,435937;35,845596;268452831;29269574  N00;Kat Petersen;T;T10;268452831;Souq;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:11;13/10/2006 11:11
29269574  N00;34,431148;35,840843;268452933;29269574  N00;Kat Petersen;T;T10;268452933;Street scene;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:12;13/10/2006 11:12
29269574  N00;34,435773;35,846247;268453064;29269574  N00;Kat Petersen;T;T10;268453064;Beautiful inlaid stone work;"Tripoli, Lebanon
27 Nov 2005";lebanon,libanon,tripoli;13/10/2006 12:12;13/10/2006 11:12
90153708  N00;34,434714;35,842425;292914119;90153708  N00;Rebel Clown;T;T11;292914119;Tripoli, Lebanon;;;09/11/2006 00:58;09/11/2006 08:58
34481475  N00;34,432965;35,844545;294578014;34481475  N00;Suavemente77;T;T12;294578014;TRIPOLI, LEBANON-APR2006;;TRIPOLI,5PhotosaDay;18/04/2006 17:43;11/11/2006 17:37
34481475  N00;34,433732;35,844661;294581165;34481475  N00;Suavemente77;T;T12;294581165;TRIPOLI, LEBANON-APR2006;;TRIPOLI;18/04/2006 17:34;11/11/2006 17:41
74905704  N00;34,437822;35,826697;297519860;74905704  N00;Marwan;L;L6;297519860;vue générale;;oscarniemeyer,niemeyer,tripoli,lebanon;14/11/2006 21:21;14/11/2006 20:21
53942167  N00;34,433374;35,845048;311981094;53942167  N00;ShlomoDiMetro;T;T13;311981094;IMGP3338;Citadelle Saint-Gilles, Tripoli, Lebanon;citadelle,saint,gilles,tripoli,lebanon,liban;01/02/2006 00:00;02/12/2006 15:11
53942167  N00;34,432928;35,844757;311981096;53942167  N00;ShlomoDiMetro;T;T13;311981096;IMGP3346;Tripoli, Lebanon;tripoli,lebanon,liban;01/02/2006 00:00;02/12/2006 15:11
28657786  N00;34,456788;35,81144;315461588;28657786  N00;AsMiCanC;T;T14;315461588;Tripoli, Lebanon;;;20/09/2005 12:43;06/12/2006 05:44
13281139  N00;34,436574;35,839767;317780777;13281139  N00;anthony_itoh;T;T15;317780777;cafe vendor at tripoli lebanon;;;28/12/2003 21:13;09/12/2006 14:12
13281139  N00;34,433133;35,842372;317780790;13281139  N00;anthony_itoh;T;T15;317780790;In the souq at tripoli lebanon;;;28/12/2003 21:50;09/12/2006 14:12
13281139  N00;34,433399;35,844277;317780802;13281139  N00;anthony_itoh;T;T15;317780802;From the citadel at tripoli lebanon;;;28/12/2003 22:29;09/12/2006 14:12
13281139  N00;34,437463;35,846282;317780827;13281139  N00;anthony_itoh;T;T15;317780827;In the souq at tripoli lebanon;;;29/12/2003 00:28;09/12/2006 14:12
13281139  N00;34,425602;35,841007;317780866;13281139  N00;anthony_itoh;T;T15;317780866;In the souq at Tripoli, Lebanon;"sweets stall, Nice!
";;29/12/2003 01:14;09/12/2006 14:13
13281139  N00;34,425602;35,841007;317780890;13281139  N00;anthony_itoh;T;T15;317780890;In the souq at Tripoli, Lebanon;Mosque gate;;29/12/2003 01:28;09/12/2006 14:13
13281139  N00;34,453053;35,814085;317780928;13281139  N00;anthony_itoh;T;T15;317780928;In the souq at Tripoli, Lebanon;;;29/12/2003 01:51;09/12/2006 14:13
13281139  N00;34,425602;35,841007;318335858;13281139  N00;anthony_itoh;T;T15;318335858;Pizza in Tripoli, Lebanon;Good for  Breakfast ;Lebanon,Tripoli,Trabulus;28/12/2003 21:52;10/12/2006 06:03
17363625  N00;34,43451;35,842926;330503106;17363625  N00;sacafotos;T;T16;330503106;;Tripoli, Lebanon;Tripoli, Lebanon;16/10/2006 09:39;23/12/2006 01:35
98674392  N00;34,452633;35,805226;347073393;98674392  N00;Laila;L;L7;347073393;noonish;El-mina, Tripoli, Lebanon;;30/12/2006 07:43;05/01/2007 22:39
65157133  N00;34,436827;35,837198;370806297;65157133  N00;ferhadsolar;T;T17;370806297;IMAG0016;Tripolis, LEBANON;Trablus,Lübnan,Lebanon,Tripoli;20/01/2006 09:56;27/01/2007 15:29
65157133  N00;34,436407;35,839185;370806298;65157133  N00;ferhadsolar;T;T17;370806298;IMAG0017;Tripolis, LEBANON;Trablus,Lübnan,Lebanon,Tripoli;20/01/2006 10:24;27/01/2007 15:29
65157133  N00;34,432864;35,844651;370811925;65157133  N00;ferhadsolar;T;T17;370811925;IMAG0021;Jabal al Lubnan, Lebanon Mountains,Tripolis LEBANON;Trablus,Lübnan,Lebanon,Tripoli;20/01/2006 11:06;27/01/2007 15:36
65157133  N00;34,435921;35,846257;370811933;65157133  N00;ferhadsolar;T;T17;370811933;IMAG0028;Al Burtasi Mosque, Tripolis LEBANON;Trablus,Lübnan,Lebanon,Tripoli;20/01/2006 11:42;27/01/2007 15:36
77457666  N00;34,444881;35,810695;385379115;77457666  N00;Joachim Flem;T;T18;385379115;Tornado outside Tripoli, Lebanon;;Lebanon,UNIFIL II,Navy,Tornado,Tripoli;30/01/2007 09:21;10/02/2007 11:17
27831131  N00;34,438345;35,856113;406752724;27831131  N00;Habib-Charles A-Hindi;L;L8;406752724;allyway in old Tripoli, Lebanon at night;;;02/01/2005 17:39;01/03/2007 13:47
58698859  N00;34,445706;35,849246;445508446;58698859  N00;Nicolai;T;T19;445508446;Clothing Shop in the souq, Tripoli, Lebanon;;LPshops;04/04/2007 02:41;04/04/2007 00:41
25798931  N00;34,432889;35,842202;450569077;25798931  N00;James Holme;T;T7;450569077;Fresh veg stalls. Tripoli Lebanon.;Fresh veg stalls. Tripoli Lebanon.;Lebanon,Tripoli,market,markets,Vegetable Market;19/04/2006 12:11;08/04/2007 11:37
25798931  N00;34,433113;35,844627;450655472;25798931  N00;James Holme;T;T7;450655472;View of Tripoli, Lebanon from the Citadel which lies high above the old town.;View of Tripoli, Lebanon from the Citadel which lies high above the old town.;Lebanon,Tripoli;19/04/2006 12:42;08/04/2007 13:34
85173921  N00;34,43385;35,844746;454100800;85173921  N00;GarethDix;T;T20;454100800;Tripoli, Lebanon;Taken from the wall of the citadel in Tripoli.;Tripoli,lebanon,city,middle east,cham128;10/04/2007 16:47;10/04/2007 15:47
71631118  N00;34,438959;35,831471;479377484;71631118  N00;Shaima;L;L9;479377484;Sunset over Tripoli, Lebanon;;Lebanon,Tripoli,Trablous,sunset;20/08/2005 12:19;01/05/2007 03:52
27831131  N00;34,445329;35,812374;504185369;27831131  N00;Habib-Charles A-Hindi;L;L8;504185369;spring showers;spring storm brewing,Tripoli  Lebanon.;cameraphone,mobilepics;11/05/2007 06:52;19/05/2007 07:20
61058683  N00;34,390005;35,805447;751803205;61058683  N00;adorablebabasseur;T;T21;751803205;1984-09 Michel Aurelie Louise - Liban;"Lil sis and parents. Mom was presumably pregnant at this time.
Taken in Tripoli, Lebanon.

See where this picture was taken. ";Child,geotagged;01/09/1984 13:02;08/07/2007 06:05
71964204  N00;34,439222;35,847117;866087216;71964204  N00;joannakakissis;T;T22;866087216;girlintripoli;This dad in Tripoli, Lebanon, got his little daughter a goldfish. She was hopping around with the bag when I first saw her. ;lebanon;19/11/2006 04:05;21/07/2007 19:33
74486134  N00;34,438942;35,824885;1257676767;74486134  N00;edwingardner;T;T23;1257676767;Rashid Karimi International Fair (1964);the never finished fair ground designed by Oscar Niemeyer in Tripoli Lebanon;niemeyer,tripoli,lebanon;24/08/2007 13:56;28/08/2007 13:51
20118538  N00;34,453787;35,808402;1338386347;20118538  N00;Luca Assen;T;T24;1338386347;Tripoli, Lebanon - Spring Colours (2001);;Lebanon,Tripoli,spring,colours,clouds,travels;13/04/2001 00:00;07/09/2007 01:11
13591811  N03;34,451378;35,806079;1387844776;13591811  N03;dustinkeirstead;T;T25;1387844776;Lovers and Guns, Tripoli, Lebanon;Lovers and weaponry by the Mediterranean, Tripoli, Lebanon, on Friday July 13, 2007 (the same day there was shelling at the nearby Palestinian camp).;tripoli,lebanon,lovers,weapons,guns,middle,east,mediterranean;13/07/2007 05:40;15/09/2007 17:50
70706029  N00;34,438631;35,847296;1412289196;70706029  N00;Alexander sehmer;T;T26;1412289196;Tripoli, Lebanon;Out and about in downtownTripoli;Tripoli,Middle,East,Lebanon,Alex Sehmer;13/09/2007 17:51;20/09/2007 10:29
19992390  N00;34,435759;35,8436;1490889456;19992390  N00;pim van den berg;T;T27;1490889456;soap factory, Tripolis,lebanon;soap storage;lebanon,soap factory;20/09/2007 15:37;05/10/2007 15:42
19992390  N00;34,437841;35,84598;1490891732;19992390  N00;pim van den berg;T;T27;1490891732;Tripolis, lebanon;entrance of crusader castle;lebanon;20/09/2007 14:24;05/10/2007 15:42
19992390  N00;34,435606;35,84375;1508555573;19992390  N00;pim van den berg;T;T27;1508555573;Soap factory in Tripolis , Lebanon;;Lebanon,soap,factory,Tripolis;20/09/2007 15:38;07/10/2007 21:39
19992390  N00;34,433205;35,844213;1533998221;19992390  N00;pim van den berg;T;T27;1533998221;Tripolis, Lebanon;Old town as seen from the citadel;tripolis,lebanon,old town;20/09/2007 14:30;10/10/2007 17:14
14443360  N03;34,432077;35,838293;1597333573;14443360  N03;r.chalhoub;L;L10;1597333573;tripoli - lebanon طرابلس;قبور اثرية قلعة صور ألأثرية جنوب لبنان;baalbek,lebanon,bekka,tyre,beerout,abidjn;17/10/2007 02:54;17/10/2007 09:54
80526660  N00;34,433242;35,844228;1828647329;80526660  N00;Aarti;T;T28;1828647329;tripoli, lebanon;;lebanon,beirut,tripoli;03/08/2007 08:56;02/11/2007 17:18
82979127  N00;34,432975;35,844814;1849587807;82979127  N00;Etienne Ranc;T;T29;1849587807;Tarablos (Tripoli) #1;View of the city from the Crusader fortress.;lebanon;01/05/2005 00:00;04/11/2007 03:58
82979127  N00;34,434439;35,842984;1849994347;82979127  N00;Etienne Ranc;T;T29;1849994347;Tarablos (Tripoli) #8;Decorated entrance to a mosque in Mamelouk style.;lebanon;01/05/2005 00:00;04/11/2007 04:51
69695629  N00;34,434871;35,842976;1921414396;69695629  N00;judge_kevin;T;T30;1921414396;BN3883_13~Interior-of-Hammam-Bathhouse-Tripoli-Lebanon-Posters;;;08/11/2007 09:54;08/11/2007 17:54
70395508  N00;34,448821;35,842895;2062934205;70395508  N00;marneri;T;T31;2062934205;psyco patterns amplified;tripoli;;04/11/2007 14:11;25/11/2007 21:05
70395508  N00;34,43779;35,846521;2063709364;70395508  N00;marneri;T;T31;2063709364;shoe in shoe, hand in hand;tripoli;;04/11/2007 13:48;25/11/2007 20:58
12552537  N04;34,441459;35,857658;2108822181;12552537  N04;The Sloths;T;T32;2108822181;Tripoli Ha+E138:I139man;;Lebanon,Tripoli,Haman;08/12/2007 09:18;13/12/2007 21:35
12552537  N04;34,435298;35,861419;2109628262;12552537  N04;The Sloths;T;T32;2109628262;Tripoli;;Lebanon;08/12/2007 11:14;13/12/2007 21:52
9131915  N04;34,437385;35,843222;2219284228;9131915  N04;americanuabroad;T;T33;2219284228;Conway_Brian_Church and Mosque - Tripoli, Lebanon;;Culture,Identity;25/01/2008 10:28;25/01/2008 18:28
7367689  N08;34,436353;35,839181;2219378889;7367689  N08;katy jabra;L;L11;2219378889;Tripoli, Lebanon;The Sloths+E138:I139;Lebanon,Old,Scanned,Pictures,Tripoli,Katy,Jabra;15/01/2008 20:27;26/01/2008 04:24
12288823  N07;34,438862;35,831745;2228944076;12288823  N07;Leandroid;T;T34;2228944076;Sunset over Tripoli, Lebanon;Tripoli,Lebanon,Sky,sunset,wires;08/01/2008 07:32;29/01/2008 16:45;
81247086  N00;34,434655;35,842398;2235128727;81247086  N00;Nick Leonard;T;T35;2235128727;A mosque in Tripoli, Lebanon.;mosque,Tripoli,Lebanon,2003,travel,Middle East,Fertile Crescent;23/03/2003 14:03;02/02/2008 01:02;
81247086  N00;34,433546;35,84482;2235130125;81247086  N00;Nick Leonard;T;T35;2235130125;A castle in Tripoli, Lebanon.;castle,fortress,Tripoli,Lebanon,2003,travel,Middle East,Fertile Crescent;23/03/2003 14:49;02/02/2008 01:03;
25548492  N00;34,434697;35,836424;2245898624;25548492  N00;JULP;T;T36;2245898624;Summer in the Middle East;Tripoli (Lebanon);;18/07/2007 16:38;06/02/2008 03:43
37803559  N00;34,434181;35,843774;2253670707;37803559  N00;Andy Scott Chang Photography;T;T37;2253670707;Passage;Tripoli, Lebanon;"tripoli;,lebanon;,lebanese;,middle,east;,trablous";03/08/2007 15:44;10/02/2008 06:29
23146822  N05;34,436999;35,834023;2255801574;23146822  N05;Snapdragon in Lebanon;L;L12;2255801574;Tripoli, Lebanon;;;05/01/2008 12:09;10/02/2008 19:22
23146822  N05;34,435012;35,847204;2257500366;23146822  N05;Snapdragon in Lebanon;L;L12;2257500366;Back street, Tripoli, Lebanon;;;05/01/2008 14:25;11/02/2008 07:22
19099627  N00;34,444291;35,858802;2266181629;19099627  N00;Jennifer Hayez;T;T38;2266181629;Tea Dellivery;Hospitality served with a smile.  Lebanese hospitality shines through.;middle east,tripoli,lebanon,libnan,iban,travel,trip,backpack;25/01/2008 17:53;15/02/2008 12:20
19099627  N00;34,444291;35,858802;2266191943;19099627  N00;Jennifer Hayez;T;T38;2266191943;sheesha and beads;;sheesha,hookha,nargheila,nargeela,prayer beads,smoke,tobacco,pipe,middle east,lebanon,libnan,liban,tripoli,trablous,travel,world,trip,backpack,street,urban;25/01/2008 18:51;15/02/2008 12:28
19099627  N00;34,444291;35,858802;2266216061;19099627  N00;Jennifer Hayez;T;T38;2266216061;White Shirts;;middle east,lebanon,liban,libnan,tripoli,trablous,travel,trip,backpack,world,street,urban,city,laundry,window,woman,white,girl,headscarf,hijab;25/01/2008 20:39;15/02/2008 12:49
19099627  N00;34,436907;35,841124;2266219213;19099627  N00;Jennifer Hayez;T;T38;2266219213;Cluttered Car;A man sells odds and ends of all sorts on every available space of this car. Moving shop locations would be easy, I imagine. Tripoli Souq, Lebanon. ;middle east,lebanon,liban,libnan,tripoli,trablous,travel,world,trip,backpack,uraban,street,city,bizarre,bazaar,shop,sell,vendor,souq,market,car,kitchen;25/01/2008 20:52;15/02/2008 12:52
19099627  N00;34,437442;35,833677;2266260083;19099627  N00;Jennifer Hayez;T;T38;2266260083;A Sweet Start;Sweet cheese topped with clotted cream and orange blossom syrup... a sugar breakfast! Tripli, Lebnon. ;middle east,lebanon,liban,libnan,food,sweet,desert,helwa,jibna;25/01/2008 17:42;15/02/2008 13:25
19099627  N00;34,451379;35,805789;2266334281;19099627  N00;Jennifer Hayez;T;T38;2266334281;Tank Girl;War seems to be the one thing constant in this country of change.  This girl has lived through one war, I'm sure she will live through more.;middle east,lebanon,libnan,liban,travel,world,trip,backpack,war,peace,politics,girl,urban,street,city,kid,children,photo of the week,lonely planet;25/01/2008 22:18;15/02/2008 14:18
19099627  N00;34,432631;35,845046;2266987150;19099627  N00;Jennifer Hayez;T;T38;2266987150;Shoes overboard;These unwanted shoes meet their end in the river below, and eventually the Sea at this river-side souq. ;shoes,market,bazaar,souq,garbage,polution,middle east,lebanon,libnan,liban,tripoli,trablous,travel,world,trip,backpack,street,urban;25/01/2008 19:21;15/02/2008 12:35
19099627  N00;34,437819;35,846464;2266992620;19099627  N00;Jennifer Hayez;T;T38;2266992620;Tripoli Streets;;middle east,lebanon,libnan,liban,tripoli,trablous,travel,world,trip,backpack,street,urban;25/01/2008 19:47;15/02/2008 12:39
19099627  N00;34,43391;35,842941;2266995948;19099627  N00;Jennifer Hayez;T;T38;2266995948;Sunlight pierces the Souq;;market,souq,bazaar,sunlight,veil,woman,middle east,lebanon,libnan,liban,tripoli,trablous,travel,world,trip,backpack,street,urban;25/01/2008 20:29;15/02/2008 12:42
19099627  N00;34,444291;35,858802;2267029154;19099627  N00;Jennifer Hayez;T;T38;2267029154;Golden Boys;Two Tripolean boys smile into the suset glow. ;middle east,lebanon,liban,libnan,tripoli,trablous,travel,world,trip,backpack,uraban,street,city,boys,kids,children,portrait,sunset;25/01/2008 22:46;15/02/2008 13:10
19099627  N00;34,43501;35,835828;2267042248;19099627  N00;Jennifer Hayez;T;T38;2267042248;Crowd Control;Ready for rowdiness, the tanks circle the busy square.;Lebanon,War,Tanks,Soldiers;26/01/2008 17:14;15/02/2008 13:20
19099627  N00;34,444291;35,858802;2267075182;19099627  N00;Jennifer Hayez;T;T38;2267075182;Making Manaaish;;middle east,lebanon,liban,libnan,libano,tripoli,tablous,market,food,bread,stall,street;25/01/2008 19:42;15/02/2008 13:45
19099627  N00;34,435672;35,843529;2267086238;19099627  N00;Jennifer Hayez;T;T38;2267086238;Shaving Soap;Continuing the craft of his ancestors, this Lebanese man shaves and smooths his bars of soap to ready for sale.  Tripoli, Lebanon. ;middle east,lebanon,libnan,liban,tripoli,trablous,soap,factory,sabon,sapon,craft,photojournalism,social,documentary;25/01/2008 20:14;15/02/2008 13:52
19099627  N00;34,455758;35,8134;2267127334;19099627  N00;Jennifer Hayez;T;T38;2267127334;Wire Nets;;middle east,leanon,libano,libnan,liban,tripoli,trablous,travel,trip,voyage,world,backpack,Al-Mina,corniche;25/01/2008 21:58;15/02/2008 14:21
19099627  N00;34,44306;35,813626;2268630833;19099627  N00;Jennifer Hayez;T;T38;2268630833;Chique Sheesha;A woman stops to enjoy apple flavored tobacco from a water pipe and watch the sunset.  Tripoli, Lebanon.;middle east,leanon,libano,libnan,liban,tripoli,trablous,travel,trip,voyage,world,backpack,woman,sheesha,nargileh,veil,hijab,headscarf,interesting;25/01/2008 23:22;16/02/2008 17:03
19099627  N00;34,447086;35,806997;2269394908;19099627  N00;Jennifer Hayez;T;T38;2269394908;Sunset Flight;;birds,seaguls;25/01/2008 23:41;16/02/2008 16:51
19099627  N00;34,448282;35,806673;2269394916;19099627  N00;Jennifer Hayez;T;T38;2269394916;Al-Mina Sunset;;Lebanon,Sunset,Beirut;25/01/2008 23:45;16/02/2008 16:51
19099627  N00;34,451379;35,805551;2269394924;19099627  N00;Jennifer Hayez;T;T38;2269394924;Fishing the Mediterranean;;fishing,fish,fisherman,birds,seaguls;25/01/2008 23:53;16/02/2008 16:51
10768540  N05;34,436637;35,843389;2271484927;10768540  N05;mikaton;T;T39;2271484927;pan pchajacy wozek;"Tripolis, Lebanon

";Lebanon,Tripolis,portaits,travel,traveller Lebanon;31/01/2008 17:05;17/02/2008 19:17
10768540  N05;34,433089;35,842356;2271486335;10768540  N05;mikaton;T;T39;2271486335;pejzaz;"Tripolis, Lebanon

";Lebanon,Tripolis,portaits,travel,traveller Lebanon;31/01/2008 16:10;17/02/2008 19:17
10768540  N05;34,433765;35,842872;2271493475;10768540  N05;mikaton;T;T39;2271493475;mala;"Tripolis, Lebanon

";Lebanon,Tripolis,portaits,travel,traveller Lebanon;31/01/2008 16:10;17/02/2008 19:20
10768540  N05;34,433534;35,842682;2271494119;10768540  N05;mikaton;T;T39;2271494119;pani z owocami;"Tripolis, Lebanon

";Lebanon,Tripolis,portaits,travel,traveller Lebanon;31/01/2008 16:08;17/02/2008 19:20
10768540  N05;34,432845;35,84154;2272275768;10768540  N05;mikaton;T;T39;2272275768;wieczorowa;"Tripolis, Lebanon

";Lebanon,Tripolis,portaits,travel,traveller Lebanon;31/01/2008 17:03;17/02/2008 19:16
10768540  N05;34,434785;35,84322;2272276940;10768540  N05;mikaton;T;T39;2272276940;i gdzies na ulicy;"Tripolis, Lebanon

";Lebanon,Tripolis,portaits,travel,traveller Lebanon;31/01/2008 16:39;17/02/2008 19:17
