	image name	category	cat_id	index	UserId 	Lat	Long	PhotoId	ID 	Name	Nationality	Num	PhotoID	Title	Description	User tags	Time taken	Time posted
31	2906352906.jpg	architectural elements	1	2906352906	30988225  N05	34,435831	35,845365	2906352906.0	30988225  N05	theodor_bafitos	T	T51	2906352906.0	Hammam-Tripoli-Lebanon		Hammam,Turkish,Light,Old,Architecture,Interior,Stones,Red	11/06/2006 12:17	02/10/2008 01:30
32	2906353514.jpg	architectural elements	1	2906353514														
33	29518259415.jpg	architectural elements	1	29518259415														
34	30792297392.jpg	architectural elements	1	30792297392														
35	31068354802.jpg	architectural elements	1	31068354802														
36	317780890.jpg	architectural elements	1	317780890	13281139  N00	34,425602	35,841007	317780890.0	13281139  N00	anthony_itoh	T	T15	317780890.0	In the souq at Tripoli, Lebanon	Mosque gate		29/12/2003 01:28	09/12/2006 14:13
37	3178191373.jpg	architectural elements	1	3178191373	23146822  N05	34,44422	35,847702	3178191373.0	23146822  N05	Snapdragon in Lebanon	L	L12	3178191373.0	Door - The old souk of el Mina, Tripoli, Lebanon			07/01/2009 15:26	08/01/2009 04:31
38	3179039042.jpg	architectural elements	1	3179039042														
39	3191533958.jpg	architectural elements	1	3191533958	32425953  N05	34,433399	35,84412	3191533958.0	32425953  N05	ERIC DIMARCANTONIO	T	T52	3191533958.0	Tripoli Lebanon		dimarcantonio,lebanon,liban,lebanonlebanon,liban lebanon Liban beirut,sea,sunset,beyrouth,sky,mosque,byblos,tree,middleeast  kurde palestiniens biblos beyrouth	19/03/2008 12:26	12/01/2009 14:16
40	3437542620.jpg	architectural elements	1	3437542620	94059942  N00	34,437939	35,846136	3437542620.0	94059942  N00	Rougette	T	T60	3437542620.0	Sundial at the Great Mosque of Tripoli, Lebanon	This Mameluke mosque dating back to 13th century was built on the remains of a 12th century crusader cathedral which had been dedicated to St. Mary	Lebanon,Tripoli	06/04/2009 11:11	13/04/2009 06:37
41	3450441421.jpg	architectural elements	1	3450441421														
42	3450834782.jpg	architectural elements	1	3450834782														
43	3866165060.jpg	architectural elements	1	3866165060	41323617  N05	34,433842	35,844876	3866165060.0	41323617  N05	bach assaf	L	L25	3866165060.0	Fortress (Tripoli - Lebanon)		saint-Gilles fortress,concrete,old,tripoli,lebanon.	02/08/2008 15:53	28/08/2009 22:11
44	4065494673.jpg	architectural elements	1	4065494673	40104582  N03	34,438936	35,824062	4065494673.0	40104582  N03	Yasmina C	L	L27	4065494673.0	Helipad	Oscar Neimeyer - Rachid Karame International Fair, Tripoli, Lebanon.		30/10/2009 19:39	01/11/2009 22:42
45	4236938155.jpg	architectural elements	1	4236938155	27231525  N00	34,439801	35,823205	4236938155.0	27231525  N00		T	T78	4236938155.0	Rashid Karami International Fair Ground Tripoli		Architecture,Lebanon,Middle East,Modernism	05/05/2008 16:11	02/01/2010 16:59
46	4243272545.jpg	architectural elements	1	4243272545	97719890  N00	34,434986	35,842057	4243272545.0	97719890  N00	Steven Damron	T	T79	4243272545.0	madrassa		lebanon,tripoli	03/01/2010 06:01	04/01/2010 07:01
47	4244045370.jpg	architectural elements	1	4244045370	97719890  N00	34,434752	35,836157	4244045370.0	97719890  N00	Steven Damron	T	T79	4244045370.0	grand mosque, door detail		lebanon,tripoli,grand,mosque	03/01/2010 06:00	04/01/2010 07:01
48	4309002299.jpg	architectural elements	1	4309002299	34666702  N00	34,260455	35,503343	4309002299.0	34666702  N00	mgkaelen	T	T82	4309002299.0	Tripoli, Lebanon			23/01/2010 15:31	27/01/2010 18:26
49	4460356883.jpg	architectural elements	1	4460356883	48647580  N04	34,439701	35,859298	4460356883.0	48647580  N04	HiamK	L	L33	4460356883.0	Mosque window	"taken from Nokia E51 mobile, wish i had my camera with me..
from a mosque in Tripoli - Lebanon

من مسجد في طرابلس, عجبني الشباك و الضوء و الألوان
"	window,CITRIT,mosque,light,stars	06/03/2010 14:39	24/03/2010 22:20
50	4507092593.jpg	architectural elements	1	4507092593	25134426  N05	34,434234	35,842928	4507092593.0	25134426  N05	pycsil	T	T89	4507092593.0	Let us be [...] gentlemen of the shade, minions of the moon'	"Tripoli, Lebanon, 31 August 2009

(William Shakespeare, Henri IV, Part I, I.ii.28)

www.sylgiraud.eu/blog/
"	Lebanon,Tripoli,mosque,moon,William Shakespeare	31/08/2009 16:42	10/04/2010 11:37
51	4543060949.jpg	architectural elements	1	4543060949														
52	4605186321.jpg	architectural elements	1	4605186321	26678053  N00	34,45788	35,844268	4605186321.0	26678053  N00	mikemuch1	T	T91	4605186321.0	Madrassa, Tripoli, Lebanon		Lebanon,Tripoli	26/04/2010 18:55	14/05/2010 03:58
53	4605193055.jpg	architectural elements	1	4605193055	26678053  N00	34,45788	35,844268	4605193055.0	26678053  N00	mikemuch1	T	T91	4605193055.0	Tripoli, Lebanon		Lebanon,Tripoli	26/04/2010 19:12	14/05/2010 04:02
54	4605199545.jpg	architectural elements	1	4605199545	26678053  N00	34,45788	35,844268	4605199545.0	26678053  N00	mikemuch1	T	T91	4605199545.0	Souk		Lebanon,Tripoli	26/04/2010 19:26	14/05/2010 04:05
55	4605226273.jpg	architectural elements	1	4605226273	26678053  N00	34,45788	35,844268	4605226273.0	26678053  N00	mikemuch1	T	T91	4605226273.0	Medieval Crusader Castle		Lebanon,Tripoli,Medieval,Crusader,Castle	26/04/2010 21:52	14/05/2010 04:20
56	4605836344.jpg	architectural elements	1	4605836344	26678053  N00	34,45788	35,844268	4605836344.0	26678053  N00	mikemuch1	T	T91	4605836344.0	Castle		Lebanon,Tripoli,Castle	26/04/2010 21:48	14/05/2010 04:18
57	4605849714.jpg	architectural elements	1	4605849714	26678053  N00	34,45788	35,844268	4605849714.0	26678053  N00	mikemuch1	T	T91	4605849714.0	Medieval Crusader Castle		Lebanon,Tripoli,Medieval,Crusader,Castle	26/04/2010 22:05	14/05/2010 04:26
58	4605864136.jpg	architectural elements	1	4605864136	26678053  N00	34,434292	35,842998	4605864136.0	26678053  N00	mikemuch1	T	T91	4605864136.0	Tripoli, Lebanon		Lebanon,Tripoli,madrassa	26/04/2010 22:42	14/05/2010 04:35
59	4668821077.jpg	architectural elements	1	4668821077	24236102  N03	34,439701	35,859298	4668821077.0	24236102  N03	Liam Levitz	T	T94	4668821077.0	Worlds Apart - Tripoli, Lebanon	There's an amazing story behind these shots and this building but no time to tell it now. Any guesses?		29/09/2009 14:28	04/06/2010 15:29
60	4679706471.jpg	architectural elements	1	4679706471	51035794405  N01	34,433546	35,844364	4679706471.0	51035794405  N01	Lou Rouge	L	L37	4679706471.0	Cruzados	Tripoli desde la fortaleza cruzada de San Gilles 	Lebanon,Líbano,fortaleza,piedra,rock,castle,castillo,cruzadas,Raymond de Saint-Gilles,San Gilles,architecture,arquitectura,minarete,city,ciudad,building,vista,ventana,windows,Tripoli,Tarabulus,Citadel Saint Gilles,Qal'at Sinjil,fort,cruzader castle,b/n,b/w,retoFS1	20/04/2010 15:06	07/06/2010 21:59
61	4715420059.jpg	architectural elements	1	4715420059	51088529  N03	34,435654	35,846068	4715420059.0	51088529  N03	shmyya	L	L39	4715420059.0	Summer 08 630a	"Close up of Minaret, Al-Burtasi School &amp; Mosque,
Tripoli, Lebanon
2008"	mosque,Lebanon,Tripoli,Islam,Muslim,Islamic,Sepia	16/07/2008 11:47	20/06/2010 01:57
62	4768253985.jpg	architectural elements	1	4768253985	47320482  N07	34,441247	35,85371	4768253985.0	47320482  N07	ChPBCR - Plainpalais	T	T98	4768253985.0	Détail de chambre		Tripoli,polarize,lebanon,liban,اَلْجُمْهُورِيَّة اَللُّبْنَانِيَّة,#joliesphotos,#partdehasard,#sotac,stuff like that	06/07/2010 21:55	06/07/2010 18:55
63	4885636235.jpg	architectural elements	1	4885636235	39736746  N02	34,438887	35,824855	4885636235.0	39736746  N02	Lamia eid	L	L46	4885636235.0	staircase	"rusting circular staircase in Tripoli, Lebanon
"		18/11/2009 16:22	12/08/2010 19:45
64	4954300517.jpg	architectural elements	1	4954300517	47311872  N03	34,434097	35,851135	4954300517.0	47311872  N03	jazziam	L	L49	4954300517.0	Mosque, Tripoli Lebanon		Lebanon_Day2	14/06/2010 06:11	03/09/2010 18:06
65	4962598265.jpg	architectural elements	1	4962598265	27601677  N06	34,444291	35,848388	4962598265.0	27601677  N06	lublutina	L	L50	4962598265.0	DSC_0014			16/07/2010 23:57	06/09/2010 07:29
66	5108346476.jpg	architectural elements	1	5108346476	64678926  N00	34,433688	35,842037	5108346476.0	64678926  N00	Makz	T	T112	5108346476.0	City Street	Tripoli, Lebanon	Lebanon,Street,Tripoli,city	29/09/2010 18:27	23/10/2010 19:13
67	5129064196.jpg	architectural elements	1	5129064196	23626425  N04	34,445848	35,8465	5129064196.0	23626425  N04	Stefano's Pics	T	T114	5129064196.0	Roller coaster?	nope...		08/10/2010 14:13	30/10/2010 16:29
68	5154172887.jpg	architectural elements	1	5154172887	90187330  N00	34,436782	35,845962	5154172887.0	90187330  N00	Rob Hilken	T	T117	5154172887.0	Tripoli, Lebanon		Belfast,Titanic quarter	27/10/2010 13:00	27/10/2010 12:00
69	5154782904.jpg	architectural elements	1	5154782904	90187330  N00	34,434807	35,842465	5154782904.0	90187330  N00	Rob Hilken	T	T117	5154782904.0	Tripoli, Lebanon		Belfast,Titanic quarter	27/10/2010 13:42	27/10/2010 12:42
70	5154783884.jpg	architectural elements	1	5154783884	90187330  N00	34,433942	35,844497	5154783884.0	90187330  N00	Rob Hilken	T	T117	5154783884.0	Tripoli, Lebanon		Belfast,Titanic quarter	27/10/2010 14:56	27/10/2010 13:56
71	5177535636.jpg	architectural elements	1	5177535636	25293476  N04	34,26016	35,502678	5177535636.0	25293476  N04	Sue and Ian Jones	T	T118	5177535636.0	Tripoli Lebanon_16			14/11/2010 19:59	15/11/2010 03:59
72	5177535944.jpg	architectural elements	1	5177535944	25293476  N04	34,434599	35,842426	5177535944.0	25293476  N04	Sue and Ian Jones	T	T118	5177535944.0	Tripoli Lebanon_11			14/11/2010 19:59	15/11/2010 03:59
73	5179286130.jpg	architectural elements	1	5179286130														
74	5185373603.jpg	architectural elements	1	5185373603														
75	5306734691.jpg	architectural elements	1	5306734691	56495320  N07	34,435372	35,840234	5306734691.0	56495320  N07	Pixaa	T	T120	5306734691.0	080_Tripoli_vstup_zapadle mesity			28/10/2010 12:07	30/12/2010 18:32
76	5337150734.jpg	architectural elements	1	5337150734	10782481  N08	34,438062	35,860233	5337150734.0	10782481  N08	bengalmixer	L	L64	5337150734.0	grande Mosquée, Tripoli		Liban,Lebanon,Tripoli	28/12/2010 05:48	08/01/2011 21:32
77	5346709413.jpg	architectural elements	1	5346709413	43459900  N00	34,436272	35,843687	5346709413.0	43459900  N00	Mlle Clare	T	T123	5346709413.0	Stairwell	Tripoli, Lebanon		11/11/2009 20:04	11/01/2011 21:05
78	5347314474.jpg	architectural elements	1	5347314474	43459900  N00	34,385946	35,801696	5347314474.0	43459900  N00	Mlle Clare	T	T123	5347314474.0	Souk Entry	Tripoli, Lebanon		11/11/2009 19:54	11/01/2011 21:04
79	5367560063.jpg	architectural elements	1	5367560063	57895969  N04	34,439701	35,859298	5367560063.0	57895969  N04	Zbarakeh	L	L67	5367560063.0	Entrance to Buj el Sbaa'	last one standingof 7 Memluk fortification for the city of tripoli. 	Tripoli,Lebanon	04/09/2010 12:46	18/01/2011 20:44
80	5367601983.jpg	architectural elements	1	5367601983														
81	5367612421.jpg	architectural elements	1	5367612421	57895969  N04	34,44245	35,85165	5367612421.0	57895969  N04	Zbarakeh	L	L67	5367612421.0	DSC_0294		Tripoli,Lebanon	07/09/2010 14:33	18/01/2011 21:05
82	5368180164.jpg	architectural elements	1	5368180164	57895969  N04	34,44245	35,85165	5368180164.0	57895969  N04	Zbarakeh	L	L67	5368180164.0	Tripoli's Citadel	Entrance to the Citadel (inner-door)	Tripoli,Lebanon	05/09/2010 16:34	18/01/2011 20:48
83	5445740467.jpg	architectural elements	1	5445740467	47881669  N03	34,439701	35,859298	5445740467.0	47881669  N03	Mohammad Reza Hassani	L	L66	5445740467.0	Windows	"
 Support my photography by ""liking"" my facebook page
"	window,street,tripoli,lebanon	16/01/2011 13:55	14/02/2011 21:13
84	5453045196.jpg	architectural elements	1	5453045196	61682277  N00	34,260395	35,503482	5453045196.0	61682277  N00	korteqwerty	T	T127	5453045196.0	IMG_5085			02/02/2011 11:10	17/02/2011 07:02
85	5453045608.jpg	architectural elements	1	5453045608	61682277  N00	34,440457	35,844097	5453045608.0	61682277  N00	korteqwerty	T	T127	5453045608.0	IMG_5115			02/02/2011 11:43	17/02/2011 07:03
86	5516544694.jpg	architectural elements	1	5516544694	11688668  N03	34,437017	35,844659	5516544694.0	11688668  N03	aussiesandy	T	T42	5516544694.0	alley to no where	Tripoli, Lebanon. Feb 1999.		22/01/2011 13:13	11/03/2011 02:19
87	5594479203.jpg	architectural elements	1	5594479203	12424900  N06	34,43055	35,840183	5594479203.0	12424900  N06	weckerle.juergen	T	T131	5594479203.0	2011-03-29 17-07-55 - P1000308			29/03/2011 17:07	06/04/2011 11:26
88	5594673849.jpg	architectural elements	1	5594673849	12424900  N06	34,43055	35,840183	5594673849.0	12424900  N06	weckerle.juergen	T	T131	5594673849.0	2011-03-29 15-33-44 - P1000275		Libanon,2011	29/03/2011 15:33	06/04/2011 13:16
89	5716546551.jpg	architectural elements	1	5716546551	41825478  N04	34,255964	35,503988	5716546551.0	41825478  N04	Laurence_Poos	T	T136	5716546551.0	IMG_7003.jpg	Tripoli - Lebanon		26/04/2011 12:28	13/05/2011 21:12
90	5717112214.jpg	architectural elements	1	5717112214	41825478  N04	34,435758	35,846301	5717112214.0	41825478  N04	Laurence_Poos	T	T136	5717112214.0	IMG_7016.jpg	Tripoli - Lebanon		26/04/2011 13:05	13/05/2011 21:12
91	5742269246.jpg	architectural elements	1	5742269246	70748440  N00	34,430912	35,846157	5742269246.0	70748440  N00	James Sebright	T	T137	5742269246.0	Pigeons - Tripoli, Lebanon	Getty Images Flickr Collection submission	lebanon,tripoli,mosque,pigeon,bird	21/05/2011 07:20	21/05/2011 06:20
92	5745602707.jpg	architectural elements	1	5745602707	37827720  N04	34,433864	35,843245	5745602707.0	37827720  N04	C.Stramba-Badiali	T	T104	5745602707.0	Man in the souk of Tripoli city  - LEBANON -	© Christophe Stramba-Badiali	Liban Lebanon Moyent,Orient 5D,MK,II,black and white,noir et blanc,Liban,Lebanon,contrast,لُبْنَان,اَلْجُمْهُورِيَّة اَللُّبْنَانِيَّة,Lebanese,western Asia,Islam,Muslim,culture,tradition,Tripoli,city,souk,light,shadow,homme,man,walking,street,one person,outside,escaliers,stairs,Christophe Stramba-Badiali,5D MK II,alone,seul,135mm	27/07/2009 21:02	22/05/2011 10:30
93	5979529806.jpg	architectural elements	1	5979529806	74153838  N00	34,438203	35,852336	5979529806.0	74153838  N00	eenar_6	T	T140	5979529806.0	the streets of tripoli, lebanon			08/06/2011 20:55	26/07/2011 22:11
94	5995796788.jpg	architectural elements	1	5995796788	74153838  N00	34,438203	35,852336	5995796788.0	74153838  N00	eenar_6	T	T140	5995796788.0	the streets of tripoli, lebanon	the call of the muezzin	tripoli,lebanon	08/06/2011 21:14	31/07/2011 22:10
95	6201541098.jpg	architectural elements	1	6201541098														
96	6223752162.jpg	architectural elements	1	6223752162	61521316  N06	34,436604	35,845163	6223752162.0	61521316  N06	Rim Photog[r]afei	L	L96	6223752162.0	There's definitely a light at the end		Tunnel,tripoli lebanon	02/10/2011 10:03	08/10/2011 17:42
97	6233554518.jpg	architectural elements	1	6233554518														
98	6697140409.jpg	architectural elements	1	6697140409	56929952  N02	34,45604	35,826416	6697140409.0	56929952  N02	mounzer_hamze	L	L99	6697140409.0	Minsoury Mosque 5	Al Minsoury Al Kabir Mosque, Tripoli, Lebanon		14/08/2011 13:12	14/01/2012 21:55
99	6794778644.jpg	architectural elements	1	6794778644	77521228  N08	34,434802	35,844013	6794778644.0	77521228  N08	robert najjar	L	L103	6794778644.0	tripoli.lebanon.9291			29/05/2007 00:19	29/02/2012 12:26
100	6826557108.jpg	architectural elements	1	6826557108	55888917  N03	34,433376	35,845056	6826557108.0	55888917  N03	hsadura	L	L104	6826557108.0	Architecture of Tripoli	"Architecture of Tripoli seen from the Citadel.
My Facebook Page
www.saduraphotography.com
Copyright © Henryk Sadura 2012"	panorama,sunset,sea,Tripoli,Architecture,City,Downtown,Middle East,Asia,Lebanon,building,Travel,Citadel,wall,stone,Crusader,castle,LPwithin	03/02/2012 09:15	11/03/2012 15:05
101	6915147237.jpg	architectural elements	1	6915147237														
102	6976914111.jpg	architectural elements	1	6976914111	61521316  N06	34,436719	35,836442	6976914111.0	61521316  N06	Rim Photog[r]afei	L	L96	6976914111.0	...		Tal,Tripoli Lebanon	11/03/2012 09:30	12/03/2012 19:15
103	7033322261.jpg	architectural elements	1	7033322261	65845777  N02	34,436751	35,845362	7033322261.0	65845777  N02	johnsonkc	T	T152	7033322261.0	Beirut March 2012 024	Souk of Tripoli, Lebanon.	Beirut March 2012	25/03/2011 04:22	31/03/2012 22:57
104	7112579585.jpg	architectural elements	1	7112579585	61914268  N06	34,433521	35,844952	7112579585.0	61914268  N06	ryancmcmanus	L	L108	7112579585.0	Peering through Tripoli	Tripoli, Lebanon		25/04/2012 09:14	25/04/2012 13:14
105	7201380534.jpg	architectural elements	1	7201380534	33613605  N06	34,433695	35,844827	7201380534.0	33613605  N06	Rana T	L	L112	7201380534.0	Tripoli, Lebanon		instagram app,square,square format,iphoneography,Brannan	15/05/2012 07:06	15/05/2012 06:06
106	7413130492.jpg	architectural elements	1	7413130492	64249609  N08	34,433581	35,844729	7413130492.0	64249609  N08	CazzJj	L	L115	7413130492.0	Within the Saint Giles Citadel, Tripoli, Lebanon	Well preserved Crusader citadel.	citadel,Tripoli,Saint Giles,Lebanon	21/06/2012 19:55	21/06/2012 09:57
107	7413139268.jpg	architectural elements	1	7413139268	64249609  N08	34,432991	35,844148	7413139268.0	64249609  N08	CazzJj	L	L115	7413139268.0	Cannon balls ready for action	Saint Giles Citadel, Tripoli, Lebanon		21/06/2012 19:58	21/06/2012 09:59
108	7413142930.jpg	architectural elements	1	7413142930	64249609  N08	34,433257	35,844802	7413142930.0	64249609  N08	CazzJj	L	L115	7413142930.0	Inside Saint Giles Citadel	Tripoli, Lebanon	Saint Giles,citadel,Tripoli,Lebanon	21/06/2012 19:59	21/06/2012 10:00
109	7413148424.jpg	architectural elements	1	7413148424	64249609  N08	34,43497	35,842429	7413148424.0	64249609  N08	CazzJj	L	L115	7413148424.0	Detail from a madrasa (school)	Tripoli, Lebanon	madrasa,school,Tripoli,Lebaon	21/06/2012 20:01	21/06/2012 10:02
110	7481815274.jpg	architectural elements	1	7481815274	81662466  N02	34,439701	35,859298	7481815274.0	81662466  N02	actfong	T	T155	7481815274.0	Tripoli Old Town			04/09/2010 11:29	01/07/2012 20:31
111	7762547004.jpg	architectural elements	1	7762547004	61521316  N06	34,436261	35,84368	7762547004.0	61521316  N06	Rim Photog[r]afei	L	L96	7762547004.0	SDIM3012		Tripoli Lebanon	12/08/2012 00:40	12/08/2012 01:26
112	7762549262.jpg	architectural elements	1	7762549262														
113	8368277374.jpg	architectural elements	1	8368277374	65125812  N08	34,433637	35,844433	8368277374.0	65125812  N08	Zagros.os	T	T141	8368277374.0	The Gate	From a historic citadel in Tripoli, Lebanon.	gate,citadel,tripoli,lebanon,silhouette,man,architecture,photography,historic	05/12/2009 16:51	10/01/2013 17:38
114	8419682725.jpg	architectural elements	1	8419682725	59964986  N05	34,439999	35,846489	8419682725.0	59964986  N05	Maurelly	L	L130	8419682725.0	Tripoli - Mosquée al-Tawba	"La mosquée al-Tawba (""du repentir"") est située près du souk al-Haraj (""marché aux enchères"") au nord de la vieille ville de Tripoli. Construite par les mamelouks, elle fut détruite en 1612 et reconstruite par le fils du wali de la ville.

www.qantara-med.org/qantara4/public/show_document.php?do_..."		26/01/2013 13:44	27/01/2013 17:07
